TABLE_NAME,COLUMN_NAME,COLUMN_NAME_KO,DATA_TYPE,NULLABLE,IS_PK,IS_FK,FK_REF,DESCRIPTION
MST_OFFICE,OFFICE_CD,지점코드,VARCHAR(8),N,Y,N,,"지점/창고 고유 코드 (예: KR-ICN, US-LAX)"
MST_OFFICE,OFFICE_NAME,지점명,VARCHAR(30),N,N,N,,지점 또는 창고의 공식 명칭
MST_OFFICE,REGION,지역,CHAR(3),N,N,N,,운영 지역 코드 (KR/US/SEA)
MST_OFFICE,OFFICE_TYPE,지점유형,VARCHAR(5),N,N,N,,창고 또는 매장 구분
MST_OFFICE,LT,리드타임(일),INTEGER,N,N,N,,발주 후 납품까지 소요 기간(일). 지점별 상이
MST_OFFICE,T,발주주기(일),INTEGER,N,N,N,,정기 발주 검토 주기(일). 지점별 상이
MST_OFFICE,SS_PARAM,안전재고계수,"DECIMAL(4,2)",N,N,N,,안전재고 계산용 z-score. 95% 서비스 수준=1.65 (전 지점 고정)
MST_OFFICE,CURRENCY,통화,CHAR(3),N,N,N,,해당 지점의 거래 통화 (KRW/USD)
MST_OFFICE,TIMEZONE,타임존,VARCHAR(30),N,N,N,,지점 현지 타임존
MST_PART,PART_CD,부품코드,VARCHAR(6),N,Y,N,,"부품 고유 코드 (FG=완제품, RM=원료, PK=용기)"
MST_PART,PART_NAME,부품명,VARCHAR(60),N,N,N,,부품 또는 원료의 공식 명칭
MST_PART,PART_TYPE,부품유형,VARCHAR(5),N,N,N,,완제품/원료/용기 구분
MST_PART,LINKED_PRODUCT_ID,연결상품ID,VARCHAR(6),Y,N,Y,MST_PRODUCT.PRODUCT_ID,완제품의 경우 MST_PRODUCT와 연결 (원료·용기는 NULL)
MST_PART,UNIT,단위,VARCHAR(5),N,N,N,,"수량 단위 (EA=개, KG=킬로그램)"
MST_PART,UNIT_COST_KRW,단가(원),INTEGER,N,N,N,,부품 단가 (KRW 기준)
MST_PART,STD_DEMAND_MONTHLY,월표준수요,INTEGER,N,N,N,,전사 기준 월평균 수요량 (SS 초기값 산출용)
MST_SUPPLY_ROUTE,ROUTE_ID,루트ID,VARCHAR(5),N,Y,N,,공급 루트 고유 ID
MST_SUPPLY_ROUTE,SUPPLIER_ID,공급업체코드,VARCHAR(6),N,N,Y,MST_SUPPLIER.SUPPLIER_ID,공급업체 FK
MST_SUPPLY_ROUTE,OFFICE_CD,지점코드,VARCHAR(8),N,N,Y,MST_OFFICE.OFFICE_CD,도착 지점 FK
MST_SUPPLY_ROUTE,TRANSPORT_MODE,운송수단,VARCHAR(5),N,N,N,,운송 방식 (육운/해운/항공)
MST_SUPPLY_ROUTE,ROUTE_LT_DAYS,루트리드타임,INTEGER,N,N,N,,이 루트의 실제 리드타임(일). MST_OFFICE.LT의 산출 근거
MST_SUPPLY_ROUTE,FREIGHT_COST_KRW,운임(원),INTEGER,N,N,N,,발주 1건당 운임 (KRW)
MST_SUPPLY_ROUTE,RELIABILITY_PCT,납기준수율(%),INTEGER,N,N,N,,과거 실적 기반 납기 준수율 (%)
FACT_REPLENISHMENT_ORDER,ORDER_ID,발주ID,VARCHAR(9),N,Y,N,,발주 고유 ID (PO 일련번호)
FACT_REPLENISHMENT_ORDER,OFFICE_CD,지점코드,VARCHAR(8),N,N,Y,MST_OFFICE.OFFICE_CD,수령 지점 FK
FACT_REPLENISHMENT_ORDER,PART_CD,부품코드,VARCHAR(6),N,N,Y,MST_PART.PART_CD,발주 부품 FK
FACT_REPLENISHMENT_ORDER,ORDER_YM,발주년월,CHAR(6),N,N,N,,발주가 이루어진 연월 (YYYYMM)
FACT_REPLENISHMENT_ORDER,ORDER_DT,발주일,CHAR(8),N,N,N,,실제 발주가 이루어진 날짜 (YYYYMMDD)
FACT_REPLENISHMENT_ORDER,PROMISED_DT,납품예정일,CHAR(8),N,N,N,,공급업체가 약속한 납품 예정일 = ORDER_DT + LT
FACT_REPLENISHMENT_ORDER,ACTUAL_DT,실납품일,CHAR(8),Y,N,N,,실제 납품이 완료된 날짜 (미납=공백)
FACT_REPLENISHMENT_ORDER,ORDER_QTY,발주수량,INTEGER,N,N,N,,발주한 수량
FACT_REPLENISHMENT_ORDER,RECEIVED_QTY,수령수량,INTEGER,N,N,N,,실제 입고 수량 (부분납품 시 ORDER_QTY 미만)
FACT_REPLENISHMENT_ORDER,UNIT_COST,단가,INTEGER,N,N,N,,발주 시점 부품 단가
FACT_REPLENISHMENT_ORDER,CURRENCY,통화,CHAR(3),N,N,N,,발주 통화 (KRW/USD)
FACT_REPLENISHMENT_ORDER,ORDER_AMOUNT,발주금액,"DECIMAL(14,2)",N,N,N,,ORDER_QTY × UNIT_COST (해당 통화)
FACT_REPLENISHMENT_ORDER,DELAY_DAYS,지연일수,INTEGER,N,N,N,,"ACTUAL_DT - PROMISED_DT (양수=지연, 음수=조기납품)"
FACT_REPLENISHMENT_ORDER,STATUS,발주상태,VARCHAR(10),N,N,N,,DELIVERED/DELAYED/PARTIAL/PENDING
FACT_STOCKOUT_EVENT,STOCKOUT_ID,품절ID,VARCHAR(7),N,Y,N,,품절 이벤트 고유 ID
FACT_STOCKOUT_EVENT,OFFICE_CD,지점코드,VARCHAR(8),N,N,Y,MST_OFFICE.OFFICE_CD,품절 발생 지점 FK
FACT_STOCKOUT_EVENT,PART_CD,부품코드,VARCHAR(6),N,N,Y,MST_PART.PART_CD,품절 부품 FK
FACT_STOCKOUT_EVENT,STOCKOUT_YM,품절발생년월,CHAR(6),N,N,N,,품절 발생 연월 (YYYYMM)
FACT_STOCKOUT_EVENT,START_DT,품절시작일,CHAR(8),N,N,N,,품절 시작일 (YYYYMMDD)
FACT_STOCKOUT_EVENT,END_DT,품절종료일,CHAR(8),N,N,N,,재고 회복일 (YYYYMMDD)
FACT_STOCKOUT_EVENT,DURATION_DAYS,품절기간(일),INTEGER,N,N,N,,품절 지속 일수
FACT_STOCKOUT_EVENT,LOST_SALES_QTY,기회손실수량,INTEGER,N,N,N,,품절로 인해 판매하지 못한 추정 수량
FACT_STOCKOUT_EVENT,CAUSE_CODE,원인코드,VARCHAR(20),N,N,N,,품절 원인 분류 (LATE_DELIVERY/DEMAND_SURGE/FORECAST_ERROR/SUPPLIER_ISSUE/PORT_DELAY)
FACT_STOCKOUT_EVENT,LINKED_ORDER_ID,연결발주ID,VARCHAR(9),Y,N,Y,FACT_REPLENISHMENT_ORDER.ORDER_ID,원인이 된 발주 건 FK
