ORDER_ID,OFFICE_CD,PART_CD,ORDER_YM,ORDER_DT,PROMISED_DT,ACTUAL_DT,ORDER_QTY,RECEIVED_QTY,UNIT_COST,CURRENCY,ORDER_AMOUNT,DELAY_DAYS,STATUS
PO0000001,KR-ICN,FG-001,202201,20220108,20220115,20220115,402,402,22000,KRW,8844000,0,DELIVERED
PO0000002,KR-ICN,FG-001,202201,20220124,20220131,20220131,387,387,22000,KRW,8514000,0,DELIVERED
PO0000003,KR-ICN,FG-002,202201,20220108,20220115,20220115,382,382,18000,KRW,6876000,0,DELIVERED
PO0000004,KR-ICN,FG-002,202201,20220124,20220131,20220131,387,387,18000,KRW,6966000,0,DELIVERED
PO0000005,KR-ICN,FG-003,202201,20220108,20220115,20220114,250,250,32000,KRW,8000000,0,DELIVERED
PO0000006,KR-ICN,FG-003,202201,20220124,20220131,20220131,299,299,32000,KRW,9568000,0,DELIVERED
PO0000007,KR-ICN,FG-004,202201,20220108,20220115,20220115,389,339,25000,KRW,9725000,0,PARTIAL
PO0000008,KR-ICN,FG-004,202201,20220124,20220131,20220131,310,310,25000,KRW,7750000,0,DELIVERED
PO0000009,KR-ICN,FG-005,202201,20220108,20220115,20220115,211,211,45000,KRW,9495000,0,DELIVERED
PO0000010,KR-ICN,FG-005,202201,20220124,20220131,20220131,196,196,45000,KRW,8820000,0,DELIVERED
PO0000011,KR-ICN,FG-006,202201,20220108,20220115,20220115,122,122,55000,KRW,6710000,0,DELIVERED
PO0000012,KR-ICN,FG-006,202201,20220124,20220131,20220131,129,129,55000,KRW,7095000,0,DELIVERED
PO0000013,KR-ICN,FG-007,202201,20220108,20220115,20220115,590,590,12000,KRW,7080000,0,DELIVERED
PO0000014,KR-ICN,FG-007,202201,20220124,20220131,20220131,534,534,12000,KRW,6408000,0,DELIVERED
PO0000015,KR-ICN,FG-008,202201,20220108,20220115,20220115,245,245,28000,KRW,6860000,0,DELIVERED
PO0000016,KR-ICN,FG-008,202201,20220124,20220131,20220131,269,269,28000,KRW,7532000,0,DELIVERED
PO0000017,KR-ICN,FG-009,202201,20220108,20220115,20220115,291,291,24000,KRW,6984000,0,DELIVERED
PO0000018,KR-ICN,FG-009,202201,20220124,20220131,20220201,364,364,24000,KRW,8736000,1,DELIVERED
PO0000019,KR-ICN,FG-010,202201,20220108,20220115,20220115,328,328,16000,KRW,5248000,0,DELIVERED
PO0000020,KR-ICN,FG-010,202201,20220124,20220131,20220131,318,318,16000,KRW,5088000,0,DELIVERED
PO0000021,KR-ICN,RM-001,202201,20220108,20220115,20220115,22,22,8500,KRW,187000,0,DELIVERED
PO0000022,KR-ICN,RM-001,202201,20220124,20220131,20220131,21,21,8500,KRW,178500,0,DELIVERED
PO0000023,KR-ICN,RM-002,202201,20220108,20220115,20220115,10,10,120000,KRW,1200000,0,DELIVERED
PO0000024,KR-ICN,RM-002,202201,20220124,20220131,20220131,10,10,120000,KRW,1200000,0,DELIVERED
PO0000025,KR-ICN,RM-003,202201,20220108,20220115,20220116,13,13,35000,KRW,455000,1,DELIVERED
PO0000026,KR-ICN,RM-003,202201,20220124,20220131,20220131,15,11,35000,KRW,525000,0,PARTIAL
PO0000027,KR-ICN,PK-001,202201,20220108,20220115,20220115,812,812,1200,KRW,974400,0,DELIVERED
PO0000028,KR-ICN,PK-001,202201,20220124,20220131,20220131,835,835,1200,KRW,1002000,0,DELIVERED
PO0000029,KR-ICN,PK-002,202201,20220108,20220115,20220114,327,327,2500,KRW,817500,0,DELIVERED
PO0000030,KR-ICN,PK-002,202201,20220124,20220131,20220131,389,389,2500,KRW,972500,0,DELIVERED
PO0000031,KR-MDG,FG-001,202201,20220104,20220106,20220106,176,176,22000,KRW,3872000,0,DELIVERED
PO0000032,KR-MDG,FG-001,202201,20220112,20220114,20220114,182,182,22000,KRW,4004000,0,DELIVERED
PO0000033,KR-MDG,FG-001,202201,20220120,20220122,20220122,170,170,22000,KRW,3740000,0,DELIVERED
PO0000034,KR-MDG,FG-001,202201,20220128,20220130,20220130,173,173,22000,KRW,3806000,0,DELIVERED
PO0000035,KR-MDG,FG-002,202201,20220104,20220106,20220106,188,188,18000,KRW,3384000,0,DELIVERED
PO0000036,KR-MDG,FG-002,202201,20220112,20220114,20220114,217,217,18000,KRW,3906000,0,DELIVERED
PO0000037,KR-MDG,FG-002,202201,20220120,20220122,20220122,228,228,18000,KRW,4104000,0,DELIVERED
PO0000038,KR-MDG,FG-002,202201,20220128,20220130,20220130,240,240,18000,KRW,4320000,0,DELIVERED
PO0000039,KR-MDG,FG-003,202201,20220104,20220106,20220106,161,161,32000,KRW,5152000,0,DELIVERED
PO0000040,KR-MDG,FG-003,202201,20220112,20220114,20220114,138,138,32000,KRW,4416000,0,DELIVERED
PO0000041,KR-MDG,FG-003,202201,20220120,20220122,20220122,122,122,32000,KRW,3904000,0,DELIVERED
PO0000042,KR-MDG,FG-003,202201,20220128,20220130,20220130,129,129,32000,KRW,4128000,0,DELIVERED
PO0000043,KR-MDG,FG-004,202201,20220104,20220106,20220106,138,138,25000,KRW,3450000,0,DELIVERED
PO0000044,KR-MDG,FG-004,202201,20220112,20220114,20220114,144,144,25000,KRW,3600000,0,DELIVERED
PO0000045,KR-MDG,FG-004,202201,20220120,20220122,20220122,173,173,25000,KRW,4325000,0,DELIVERED
PO0000046,KR-MDG,FG-004,202201,20220128,20220130,20220130,153,153,25000,KRW,3825000,0,DELIVERED
PO0000047,KR-MDG,FG-007,202201,20220104,20220106,20220106,321,321,12000,KRW,3852000,0,DELIVERED
PO0000048,KR-MDG,FG-007,202201,20220112,20220114,20220114,283,283,12000,KRW,3396000,0,DELIVERED
PO0000049,KR-MDG,FG-007,202201,20220120,20220122,20220122,271,271,12000,KRW,3252000,0,DELIVERED
