TICKET_ID,PRODUCT_ID,CHANNEL_ID,RECEIVED_DATE,ISSUE_TYPE,SEVERITY,STATUS,RESOLVED_DATE,HANDLING_DAYS,COMPENSATION_AMOUNT
CS00001,PRD010,CH004,2025-01-02,품질불량,LOW,RESOLVED,2025-01-03,1,0
CS00002,PRD011,CH001,2025-01-09,파손,MEDIUM,RESOLVED,2025-01-11,2,0
CS00003,PRD008,CH001,2025-01-11,품질불량,HIGH,RESOLVED,2025-01-22,11,19000
CS00004,PRD015,CH002,2025-01-22,품질불량,MEDIUM,RESOLVED,2025-01-28,6,0
CS00005,PRD016,CH001,2025-01-22,파손,HIGH,RESOLVED,2025-01-29,7,39000
CS00006,PRD010,CH002,2025-01-25,품질불량,HIGH,RESOLVED,2025-02-05,11,38000
CS00007,PRD003,CH002,2025-01-26,품질불량,HIGH,RESOLVED,2025-02-06,11,76000
CS00008,PRD010,CH003,2025-01-29,품질불량,HIGH,RESOLVED,2025-02-05,7,23000
CS00009,PRD010,CH003,2025-02-03,파손,HIGH,RESOLVED,2025-02-12,9,15000
CS00010,PRD012,CH002,2025-02-03,파손,HIGH,RESOLVED,2025-02-13,10,22000
CS00011,PRD008,CH001,2025-02-04,사용법문의,MEDIUM,RESOLVED,2025-02-09,5,0
CS00012,PRD011,CH001,2025-02-07,품질불량,HIGH,RESOLVED,2025-02-13,6,40000
CS00013,PRD008,CH003,2025-02-09,품질불량,LOW,RESOLVED,2025-02-11,2,0
CS00014,PRD008,CH002,2025-02-11,품질불량,HIGH,RESOLVED,2025-02-18,7,19000
CS00015,PRD013,CH001,2025-02-15,품질불량,LOW,RESOLVED,2025-02-18,3,0
CS00016,PRD001,CH001,2025-02-19,파손,HIGH,RESOLVED,2025-02-25,6,34000
CS00017,PRD003,CH001,2025-02-21,품질불량,LOW,RESOLVED,2025-02-24,3,0
CS00018,PRD003,CH003,2025-02-25,품질불량,HIGH,RESOLVED,2025-03-03,6,75000
CS00019,PRD010,CH004,2025-02-26,품질불량,HIGH,RESOLVED,2025-03-04,6,10000
CS00020,PRD013,CH002,2025-03-01,품질불량,HIGH,RESOLVED,2025-03-12,11,13000
CS00021,PRD008,CH003,2025-03-06,파손,LOW,RESOLVED,2025-03-09,3,0
CS00022,PRD010,CH001,2025-03-12,교환요청,LOW,RESOLVED,2025-03-15,3,0
CS00023,PRD008,CH001,2025-03-16,배송지연,LOW,RESOLVED,2025-03-18,2,0
CS00024,PRD011,CH001,2025-03-19,배송지연,HIGH,RESOLVED,2025-03-29,10,28000
CS00025,PRD017,CH001,2025-03-19,품질불량,HIGH,RESOLVED,2025-03-29,10,49000
CS00026,PRD004,CH001,2025-03-20,품질불량,LOW,RESOLVED,2025-03-21,1,0
CS00027,PRD001,CH001,2025-03-21,품질불량,LOW,RESOLVED,2025-03-23,2,0
CS00028,PRD015,CH001,2025-03-23,파손,LOW,RESOLVED,2025-03-25,2,0
CS00029,PRD003,CH003,2025-03-29,품질불량,HIGH,RESOLVED,2025-04-03,5,66000
CS00030,PRD003,CH002,2025-03-29,품질불량,HIGH,RESOLVED,2025-04-03,5,74000
CS00031,PRD015,CH002,2025-03-29,품질불량,HIGH,RESOLVED,2025-04-04,6,18000
CS00032,PRD013,CH002,2025-04-08,배송지연,MEDIUM,RESOLVED,2025-04-14,6,0
CS00033,PRD008,CH002,2025-04-09,배송지연,LOW,RESOLVED,2025-04-11,2,0
CS00034,PRD013,CH003,2025-04-11,품질불량,LOW,RESOLVED,2025-04-12,1,0
CS00035,PRD004,CH002,2025-04-12,파손,LOW,RESOLVED,2025-04-13,1,0
CS00036,PRD016,CH001,2025-04-17,품질불량,HIGH,RESOLVED,2025-04-25,8,62000
CS00037,PRD008,CH003,2025-04-19,품질불량,HIGH,RESOLVED,2025-04-30,11,35000
CS00038,PRD001,CH001,2025-04-28,배송지연,LOW,RESOLVED,2025-05-01,3,0
CS00039,PRD004,CH001,2025-04-29,배송지연,MEDIUM,RESOLVED,2025-05-04,5,0
CS00040,PRD001,CH002,2025-05-01,배송지연,LOW,RESOLVED,2025-05-03,2,0
CS00041,PRD008,CH001,2025-05-06,품질불량,LOW,RESOLVED,2025-05-08,2,0
CS00042,PRD013,CH002,2025-05-10,사용법문의,LOW,RESOLVED,2025-05-11,1,0
CS00043,PRD013,CH001,2025-05-10,교환요청,LOW,RESOLVED,2025-05-12,2,0
CS00044,PRD012,CH001,2025-05-15,품질불량,HIGH,RESOLVED,2025-05-23,8,24000
CS00045,PRD020,CH001,2025-05-15,교환요청,MEDIUM,RESOLVED,2025-05-17,2,0
CS00046,PRD017,CH001,2025-05-18,배송지연,MEDIUM,RESOLVED,2025-05-20,2,0
CS00047,PRD002,CH001,2025-05-19,품질불량,HIGH,RESOLVED,2025-05-26,7,49000
CS00048,PRD013,CH003,2025-05-19,품질불량,MEDIUM,RESOLVED,2025-05-25,6,0
CS00049,PRD002,CH002,2025-05-21,파손,LOW,RESOLVED,2025-05-22,1,0
CS00050,PRD009,CH002,2025-05-31,품질불량,HIGH,RESOLVED,2025-06-08,8,44000
CS00051,PRD016,CH002,2025-06-01,파손,MEDIUM,RESOLVED,2025-06-03,2,0
CS00052,PRD004,CH001,2025-06-11,품질불량,HIGH,RESOLVED,2025-06-21,10,86000
CS00053,PRD020,CH001,2025-06-12,품질불량,HIGH,RESOLVED,2025-06-18,6,187000
CS00054,PRD008,CH003,2025-06-15,품질불량,MEDIUM,RESOLVED,2025-06-20,5,0
CS00055,PRD013,CH003,2025-06-17,품질불량,MEDIUM,RESOLVED,2025-06-22,5,0
CS00056,PRD013,CH001,2025-06-26,품질불량,LOW,RESOLVED,2025-06-28,2,0
CS00057,PRD004,CH003,2025-06-28,사용법문의,MEDIUM,RESOLVED,2025-07-04,6,0
CS00058,PRD012,CH002,2025-06-29,사용법문의,LOW,RESOLVED,2025-06-30,1,0
CS00059,PRD009,CH002,2025-07-01,품질불량,HIGH,RESOLVED,2025-07-11,10,44000
CS00060,PRD013,CH002,2025-07-04,사용법문의,MEDIUM,RESOLVED,2025-07-10,6,0
CS00061,PRD016,CH001,2025-07-06,품질불량,LOW,RESOLVED,2025-07-07,1,0
CS00062,PRD008,CH001,2025-07-09,사용법문의,LOW,RESOLVED,2025-07-10,1,0
CS00063,PRD002,CH003,2025-07-10,품질불량,MEDIUM,RESOLVED,2025-07-13,3,0
CS00064,PRD001,CH001,2025-07-11,품질불량,MEDIUM,RESOLVED,2025-07-15,4,0
CS00065,PRD009,CH002,2025-07-11,교환요청,MEDIUM,RESOLVED,2025-07-13,2,0
CS00066,PRD009,CH003,2025-07-12,품질불량,LOW,RESOLVED,2025-07-13,1,0
CS00067,PRD012,CH001,2025-07-16,품질불량,LOW,RESOLVED,2025-07-18,2,0
CS00068,PRD020,CH001,2025-07-18,사용법문의,LOW,RESOLVED,2025-07-21,3,0
CS00069,PRD008,CH002,2025-07-20,품질불량,HIGH,RESOLVED,2025-07-25,5,26000
CS00070,PRD020,CH003,2025-07-27,품질불량,LOW,RESOLVED,2025-07-28,1,0
CS00071,PRD002,CH001,2025-07-29,사용법문의,MEDIUM,RESOLVED,2025-08-01,3,0
CS00072,PRD020,CH004,2025-07-31,교환요청,LOW,RESOLVED,2025-08-02,2,0
CS00073,PRD012,CH003,2025-08-01,품질불량,LOW,RESOLVED,2025-08-04,3,0
CS00074,PRD010,CH001,2025-08-09,품질불량,LOW,RESOLVED,2025-08-10,1,0
CS00075,PRD002,CH001,2025-08-10,품질불량,MEDIUM,RESOLVED,2025-08-12,2,0
CS00076,PRD002,CH002,2025-08-11,사용법문의,MEDIUM,RESOLVED,2025-08-16,5,0
CS00077,PRD020,CH001,2025-08-11,배송지연,LOW,RESOLVED,2025-08-12,1,0
CS00078,PRD013,CH002,2025-08-13,사용법문의,MEDIUM,RESOLVED,2025-08-15,2,0
CS00079,PRD013,CH001,2025-08-13,배송지연,HIGH,RESOLVED,2025-08-23,10,38000
CS00080,PRD008,CH002,2025-08-16,품질불량,HIGH,RESOLVED,2025-08-27,11,22000
CS00081,PRD002,CH003,2025-08-17,사용법문의,HIGH,RESOLVED,2025-08-25,8,82000
CS00082,PRD013,CH003,2025-08-18,품질불량,HIGH,RESOLVED,2025-08-26,8,16000
CS00083,PRD012,CH001,2025-08-23,품질불량,LOW,RESOLVED,2025-08-25,2,0
CS00084,PRD020,CH004,2025-08-25,교환요청,MEDIUM,RESOLVED,2025-08-29,4,0
CS00085,PRD009,CH002,2025-08-29,배송지연,MEDIUM,RESOLVED,2025-09-03,5,0
CS00086,PRD002,CH001,2025-08-31,교환요청,LOW,RESOLVED,2025-09-03,3,0
CS00087,PRD012,CH002,2025-09-02,품질불량,MEDIUM,RESOLVED,2025-09-04,2,0
CS00088,PRD020,CH002,2025-09-03,사용법문의,LOW,RESOLVED,2025-09-05,2,0
CS00089,PRD013,CH001,2025-09-08,파손,LOW,RESOLVED,2025-09-11,3,0
CS00090,PRD020,CH003,2025-09-11,품질불량,HIGH,RESOLVED,2025-09-21,10,66000
CS00091,PRD008,CH001,2025-09-15,품질불량,HIGH,RESOLVED,2025-09-24,9,22000
CS00092,PRD009,CH001,2025-09-16,품질불량,MEDIUM,RESOLVED,2025-09-19,3,0
CS00093,PRD001,CH002,2025-09-17,품질불량,LOW,RESOLVED,2025-09-20,3,0
CS00094,PRD002,CH002,2025-09-17,사용법문의,HIGH,RESOLVED,2025-09-26,9,60000
CS00095,PRD002,CH003,2025-09-21,배송지연,LOW,RESOLVED,2025-09-24,3,0
CS00096,PRD020,CH001,2025-09-29,교환요청,MEDIUM,RESOLVED,2025-10-02,3,0
CS00097,PRD016,CH001,2025-10-01,사용법문의,MEDIUM,RESOLVED,2025-10-07,6,0
CS00098,PRD003,CH002,2025-10-05,파손,HIGH,RESOLVED,2025-10-13,8,47000
