ORDER_ID,PRODUCT_ID,SUPPLIER_ID,ORDER_DATE,EXPECTED_DATE,QTY,UNIT_COST,STATUS
ORD00001,PRD001,SUP001,2025-02-03,2025-02-17,500,9300,DELIVERED
ORD00002,PRD002,SUP004,2025-02-03,2025-02-13,200,6800,DELIVERED
ORD00003,PRD004,SUP005,2025-02-03,2025-02-15,400,10800,DELIVERED
ORD00004,PRD005,SUP008,2025-02-03,2025-02-18,500,20100,DELIVERED
ORD00005,PRD006,SUP010,2025-02-03,2025-02-23,600,21200,DELIVERED
ORD00006,PRD009,SUP006,2025-02-03,2025-02-12,300,6400,DELIVERED
ORD00007,PRD010,SUP003,2025-02-03,2025-03-05,1000,3200,DELIVERED
ORD00008,PRD011,SUP006,2025-02-03,2025-02-12,300,5800,DELIVERED
ORD00009,PRD012,SUP009,2025-02-03,2025-02-11,250,6100,DELIVERED
ORD00010,PRD013,SUP009,2025-02-03,2025-02-11,250,4800,DELIVERED
ORD00011,PRD017,SUP005,2025-02-03,2025-02-15,400,8500,DELIVERED
ORD00012,PRD018,SUP005,2025-02-03,2025-02-15,400,8900,DELIVERED
ORD00013,PRD001,SUP001,2025-03-03,2025-03-17,500,8000,DELIVERED
ORD00014,PRD002,SUP004,2025-03-03,2025-03-13,200,7400,DELIVERED
ORD00015,PRD003,SUP001,2025-03-03,2025-03-17,500,13100,DELIVERED
ORD00016,PRD004,SUP005,2025-03-03,2025-03-15,400,10000,DELIVERED
ORD00017,PRD005,SUP008,2025-03-03,2025-03-18,500,18400,DELIVERED
ORD00018,PRD006,SUP010,2025-03-03,2025-03-23,600,24000,DELIVERED
ORD00019,PRD008,SUP006,2025-03-03,2025-03-12,300,4900,DELIVERED
ORD00020,PRD009,SUP006,2025-03-03,2025-03-12,300,5400,DELIVERED
ORD00021,PRD011,SUP006,2025-03-03,2025-03-12,300,5400,DELIVERED
ORD00022,PRD013,SUP009,2025-03-03,2025-03-11,250,5600,DELIVERED
ORD00023,PRD014,SUP007,2025-03-03,2025-03-31,800,17100,DELIVERED
ORD00024,PRD015,SUP009,2025-03-03,2025-03-11,250,3900,DELIVERED
ORD00025,PRD016,SUP003,2025-03-03,2025-04-02,1000,10300,DELIVERED
ORD00026,PRD019,SUP007,2025-03-03,2025-03-31,800,14600,DELIVERED
ORD00027,PRD020,SUP004,2025-03-03,2025-03-13,200,9400,DELIVERED
ORD00028,PRD002,SUP004,2025-03-05,2025-03-15,1500,7200,DELIVERED
ORD00029,PRD020,SUP004,2025-03-05,2025-03-15,1500,9600,DELIVERED
ORD00030,PRD001,SUP001,2025-04-03,2025-04-17,500,7900,DELIVERED
ORD00031,PRD002,SUP004,2025-04-03,2025-04-13,200,7500,DELIVERED
ORD00032,PRD004,SUP005,2025-04-03,2025-04-15,400,9400,DELIVERED
ORD00033,PRD005,SUP008,2025-04-03,2025-04-18,500,16600,DELIVERED
ORD00034,PRD006,SUP010,2025-04-03,2025-04-23,600,19700,DELIVERED
ORD00035,PRD007,SUP002,2025-04-03,2025-04-10,300,14900,DELIVERED
ORD00036,PRD008,SUP006,2025-04-03,2025-04-12,300,5000,DELIVERED
ORD00037,PRD009,SUP006,2025-04-03,2025-04-12,300,5300,DELIVERED
ORD00038,PRD010,SUP003,2025-04-03,2025-05-03,1000,3400,DELIVERED
ORD00039,PRD011,SUP006,2025-04-03,2025-04-12,300,5500,DELIVERED
ORD00040,PRD012,SUP009,2025-04-03,2025-04-11,250,6700,DELIVERED
ORD00041,PRD013,SUP009,2025-04-03,2025-04-11,250,4900,DELIVERED
ORD00042,PRD014,SUP007,2025-04-03,2025-05-01,800,14900,DELIVERED
ORD00043,PRD015,SUP009,2025-04-03,2025-04-11,250,3900,DELIVERED
ORD00044,PRD016,SUP003,2025-04-03,2025-05-03,1000,11700,DELIVERED
ORD00045,PRD018,SUP005,2025-04-03,2025-04-15,400,8900,DELIVERED
ORD00046,PRD019,SUP007,2025-04-03,2025-05-01,800,14700,DELIVERED
ORD00047,PRD020,SUP004,2025-04-03,2025-04-13,200,9000,DELIVERED
ORD00048,PRD001,SUP001,2025-05-03,2025-05-17,500,8000,DELIVERED
ORD00049,PRD004,SUP005,2025-05-03,2025-05-15,400,10200,DELIVERED
ORD00050,PRD005,SUP008,2025-05-03,2025-05-18,500,17100,DELIVERED
ORD00051,PRD006,SUP010,2025-05-03,2025-05-23,600,21900,DELIVERED
ORD00052,PRD007,SUP002,2025-05-03,2025-05-10,300,12300,DELIVERED
ORD00053,PRD009,SUP006,2025-05-03,2025-05-12,300,6600,DELIVERED
ORD00054,PRD010,SUP003,2025-05-03,2025-06-09,1000,3100,DELAYED
ORD00055,PRD014,SUP007,2025-05-03,2025-05-31,800,16400,DELIVERED
ORD00056,PRD016,SUP003,2025-05-03,2025-06-02,1000,11300,DELIVERED
ORD00057,PRD017,SUP005,2025-05-03,2025-05-15,400,8200,DELIVERED
ORD00058,PRD018,SUP005,2025-05-03,2025-05-15,400,8700,DELIVERED
ORD00059,PRD019,SUP007,2025-05-03,2025-05-31,800,12800,DELIVERED
ORD00060,PRD001,SUP001,2025-06-03,2025-06-17,500,9600,DELIVERED
ORD00061,PRD002,SUP004,2025-06-03,2025-06-13,200,6800,DELIVERED
ORD00062,PRD003,SUP001,2025-06-03,2025-06-17,500,12200,DELIVERED
ORD00063,PRD005,SUP008,2025-06-03,2025-06-18,500,20100,DELIVERED
ORD00064,PRD006,SUP010,2025-06-03,2025-06-23,600,20300,DELIVERED
ORD00065,PRD007,SUP002,2025-06-03,2025-06-10,300,12700,DELIVERED
ORD00066,PRD008,SUP006,2025-06-03,2025-06-12,300,4400,DELIVERED
ORD00067,PRD009,SUP006,2025-06-03,2025-06-12,300,5600,DELIVERED
ORD00068,PRD010,SUP003,2025-06-03,2025-07-03,1000,3600,DELIVERED
ORD00069,PRD011,SUP006,2025-06-03,2025-06-12,300,5400,DELIVERED
ORD00070,PRD013,SUP009,2025-06-03,2025-06-11,250,5700,DELIVERED
ORD00071,PRD014,SUP007,2025-06-03,2025-07-10,800,13900,DELAYED
ORD00072,PRD015,SUP009,2025-06-03,2025-06-11,250,3700,DELIVERED
ORD00073,PRD017,SUP005,2025-06-03,2025-06-15,400,7400,DELIVERED
ORD00074,PRD018,SUP005,2025-06-03,2025-06-15,400,9500,DELIVERED
ORD00075,PRD019,SUP007,2025-06-03,2025-07-01,800,12700,DELIVERED
ORD00076,PRD001,SUP001,2025-07-03,2025-07-17,500,8600,DELIVERED
ORD00077,PRD004,SUP005,2025-07-03,2025-07-15,400,9300,DELIVERED
ORD00078,PRD005,SUP008,2025-07-03,2025-07-18,500,20200,DELIVERED
ORD00079,PRD006,SUP010,2025-07-03,2025-07-23,600,24200,DELIVERED
ORD00080,PRD009,SUP006,2025-07-03,2025-07-12,300,5700,DELIVERED
ORD00081,PRD010,SUP003,2025-07-03,2025-08-02,1000,2800,DELIVERED
ORD00082,PRD011,SUP006,2025-07-03,2025-07-12,300,6100,DELIVERED
ORD00083,PRD015,SUP009,2025-07-03,2025-07-11,250,4100,DELIVERED
ORD00084,PRD016,SUP003,2025-07-03,2025-08-08,1000,11600,DELAYED
ORD00085,PRD017,SUP005,2025-07-03,2025-07-15,400,7500,DELIVERED
ORD00086,PRD019,SUP007,2025-07-03,2025-07-31,800,14000,DELIVERED
ORD00087,PRD020,SUP004,2025-07-03,2025-07-13,200,8900,DELIVERED
ORD00088,PRD001,SUP001,2025-08-03,2025-08-17,500,8900,DELIVERED
ORD00089,PRD003,SUP001,2025-08-03,2025-08-17,500,13100,DELIVERED
ORD00090,PRD004,SUP005,2025-08-03,2025-08-15,400,9900,DELIVERED
ORD00091,PRD006,SUP010,2025-08-03,2025-08-23,600,23000,DELIVERED
ORD00092,PRD007,SUP002,2025-08-03,2025-08-10,300,15700,DELIVERED
ORD00093,PRD008,SUP006,2025-08-03,2025-08-12,300,5300,DELIVERED
ORD00094,PRD009,SUP006,2025-08-03,2025-08-12,300,5300,DELIVERED
ORD00095,PRD010,SUP003,2025-08-03,2025-09-02,1000,3200,DELIVERED
ORD00096,PRD011,SUP006,2025-08-03,2025-08-12,300,6300,DELIVERED
ORD00097,PRD012,SUP009,2025-08-03,2025-08-11,250,7100,DELIVERED
ORD00098,PRD016,SUP003,2025-08-03,2025-09-02,1000,12500,DELIVERED
ORD00099,PRD018,SUP005,2025-08-03,2025-08-15,400,8200,DELIVERED
ORD00100,PRD019,SUP007,2025-08-03,2025-08-31,800,15400,DELIVERED
ORD00101,PRD020,SUP004,2025-08-03,2025-08-13,200,9800,DELIVERED
ORD00102,PRD002,SUP004,2025-09-03,2025-09-13,300,6400,DELIVERED
ORD00103,PRD003,SUP001,2025-09-03,2025-09-17,500,13600,DELIVERED
ORD00104,PRD005,SUP008,2025-09-03,2025-09-18,500,17800,DELIVERED
ORD00105,PRD006,SUP010,2025-09-03,2025-09-23,600,20500,DELIVERED
ORD00106,PRD008,SUP006,2025-09-03,2025-09-12,300,4300,DELIVERED
ORD00107,PRD011,SUP006,2025-09-03,2025-09-12,300,5700,DELIVERED
ORD00108,PRD012,SUP009,2025-09-03,2025-09-11,250,5800,DELIVERED
ORD00109,PRD013,SUP009,2025-09-03,2025-09-11,250,5800,DELIVERED
ORD00110,PRD014,SUP007,2025-09-03,2025-10-01,800,16400,DELIVERED
ORD00111,PRD016,SUP003,2025-09-03,2025-10-12,1000,10600,DELAYED
ORD00112,PRD017,SUP005,2025-09-03,2025-09-15,400,8400,DELIVERED
ORD00113,PRD018,SUP005,2025-09-03,2025-09-15,400,7800,DELIVERED
ORD00114,PRD019,SUP007,2025-09-03,2025-10-07,800,15700,DELAYED
ORD00115,PRD020,SUP004,2025-09-03,2025-09-13,500,9200,DELIVERED
ORD00116,PRD003,SUP001,2025-09-05,2025-09-19,1500,12800,DELIVERED
ORD00117,PRD010,SUP003,2025-09-05,2025-10-05,1500,3200,DELIVERED
