RESULT_ID,PROMOTION_ID,PRODUCT_ID,CHANNEL_ID,YEAR_MONTH,SALES_QTY,SALES_AMOUNT,DISCOUNT_AMOUNT,UPLIFT_PCT
PRS00001,PRM001,PRD001,CH001,2025-03,156,3317600,663520,6.1
PRS00002,PRM001,PRD002,CH001,2025-03,79,1374600,274920,-49.3
PRS00003,PRM001,PRD003,CH001,2025-03,201,6217600,1243520,7.8
PRS00004,PRM001,PRD004,CH001,2025-03,164,3963333,792667,26.3
PRS00005,PRM001,PRD005,CH001,2025-03,79,3436500,687300,-15.0
PRS00006,PRM001,PRD006,CH001,2025-03,32,1701333,340267,-51.6
PRS00007,PRM001,PRD007,CH001,2025-03,57,1928500,385700,26.7
PRS00008,PRM001,PRD008,CH001,2025-03,215,2494000,498800,8.9
PRS00009,PRM001,PRD009,CH001,2025-03,139,2015500,403100,-15.4
PRS00010,PRM001,PRD010,CH001,2025-03,266,2057067,411413,-11.6
PRS00011,PRM001,PRD011,CH001,2025-03,100,1353333,270667,55.4
PRS00012,PRM001,PRD012,CH001,2025-03,177,2737600,547520,2.3
PRS00013,PRM001,PRD013,CH001,2025-03,216,2714400,542880,12.8
PRS00014,PRM001,PRD014,CH001,2025-03,26,955067,191013,-66.3
PRS00015,PRM001,PRD015,CH001,2025-03,105,1015000,203000,47.1
PRS00016,PRM001,PRD016,CH001,2025-03,139,3762267,752453,5.0
PRS00017,PRM001,PRD017,CH001,2025-03,89,1720667,344133,73.7
PRS00018,PRM001,PRD018,CH001,2025-03,120,2552000,510400,-8.9
PRS00019,PRM001,PRD019,CH001,2025-03,40,1353333,270667,-51.4
PRS00020,PRM001,PRD020,CH001,2025-03,65,1508000,301600,-66.4
PRS00021,PRM002,PRD001,CH002,2025-04,141,2977920,446688,20.3
PRS00022,PRM002,PRD002,CH002,2025-04,51,881280,132192,-69.0
PRS00023,PRM002,PRD003,CH002,2025-04,64,1966080,294912,-45.5
PRS00024,PRM002,PRD004,CH002,2025-04,147,3528000,529200,30.5
PRS00025,PRM002,PRD005,CH002,2025-04,66,2851200,427680,-11.8
PRS00026,PRM002,PRD006,CH002,2025-04,29,1531200,229680,-43.6
PRS00027,PRM002,PRD007,CH002,2025-04,54,1814400,272160,68.8
PRS00028,PRM003,PRD001,CH001,2025-05,180,3762000,940500,22.4
PRS00029,PRM003,PRD002,CH001,2025-05,222,3796200,949050,42.4
PRS00030,PRM003,PRD003,CH001,2025-05,72,2188800,547200,-61.4
PRS00031,PRM003,PRD004,CH001,2025-05,169,4013750,1003438,30.2
PRS00032,PRM003,PRD005,CH001,2025-05,109,4659750,1164938,17.3
PRS00033,PRM003,PRD006,CH001,2025-05,50,2612500,653125,-24.4
PRS00034,PRM003,PRD007,CH001,2025-05,66,2194500,548625,46.7
PRS00035,PRM003,PRD001,CH001,2025-06,180,3712500,928125,22.4
PRS00036,PRM004,PRD001,CH003,2025-06,106,2250380,675114,14.5
PRS00037,PRM003,PRD002,CH001,2025-06,437,7374375,1843594,180.3
PRS00038,PRM004,PRD002,CH003,2025-06,313,5436810,1631043,169.2
PRS00039,PRM003,PRD003,CH001,2025-06,88,2640000,660000,-52.8
PRS00040,PRM004,PRD003,CH003,2025-06,53,1636640,490992,-49.9
PRS00041,PRM003,PRD004,CH001,2025-06,203,4757812,1189453,56.3
PRS00042,PRM004,PRD004,CH003,2025-06,119,2870875,861262,37.3
PRS00043,PRM003,PRD005,CH001,2025-06,117,4935938,1233984,25.9
PRS00044,PRM004,PRD005,CH003,2025-06,62,2692350,807705,7.8
PRS00045,PRM003,PRD006,CH001,2025-06,54,2784375,696094,-18.4
PRS00046,PRM004,PRD006,CH003,2025-06,34,1804550,541365,-12.7
PRS00047,PRM003,PRD007,CH001,2025-06,43,1410938,352734,-4.4
PRS00048,PRM004,PRD007,CH003,2025-06,24,810600,243180,-15.6
PRS00049,PRM004,PRD008,CH003,2025-06,163,1887540,566262,26.6
PRS00050,PRM004,PRD009,CH003,2025-06,121,1751475,525442,20.4
PRS00051,PRM004,PRD010,CH003,2025-06,71,548120,164436,-64.2
PRS00052,PRM004,PRD011,CH003,2025-06,62,837620,251286,38.8
PRS00053,PRM004,PRD012,CH003,2025-06,125,1930000,579000,12.3
PRS00054,PRM004,PRD013,CH003,2025-06,150,1881750,564525,20.0
PRS00055,PRM004,PRD014,CH003,2025-06,37,1356790,407037,-24.8
PRS00056,PRM004,PRD015,CH003,2025-06,15,144750,43425,-72.7
PRS00057,PRM004,PRD016,CH003,2025-06,115,3107300,932190,35.4
PRS00058,PRM004,PRD017,CH003,2025-06,50,965000,289500,46.3
PRS00059,PRM004,PRD018,CH003,2025-06,97,2059310,617793,15.9
PRS00060,PRM004,PRD019,CH003,2025-06,37,1249675,374902,-24.8
PRS00061,PRM004,PRD020,CH003,2025-06,415,9611400,2883420,328.1
PRS00062,PRM005,PRD001,CH001,2025-08,165,3509000,701800,12.2
PRS00063,PRM005,PRD002,CH001,2025-08,727,12649800,2529960,366.3
PRS00064,PRM005,PRD003,CH001,2025-08,79,2443733,488747,-57.6
PRS00065,PRM005,PRD004,CH001,2025-08,149,3600833,720167,14.8
PRS00066,PRM005,PRD005,CH001,2025-08,93,4045500,809100,0.1
PRS00067,PRM005,PRD006,CH001,2025-08,55,2924167,584833,-16.9
PRS00068,PRM005,PRD007,CH001,2025-08,11,372167,74433,-75.6
PRS00069,PRM005,PRD008,CH001,2025-08,246,2853600,570720,24.6
PRS00070,PRM005,PRD009,CH001,2025-08,182,2639000,527800,10.8
PRS00071,PRM005,PRD010,CH001,2025-08,157,1214133,242827,-47.8
PRS00072,PRM005,PRD011,CH001,2025-08,80,1082667,216533,24.4
PRS00073,PRM005,PRD012,CH001,2025-08,227,3510933,702187,31.2
PRS00074,PRM005,PRD013,CH001,2025-08,202,2538467,507693,5.5
PRS00075,PRM005,PRD014,CH001,2025-08,75,2755000,551000,-2.9
PRS00076,PRM005,PRD016,CH001,2025-08,170,4601333,920267,28.4
PRS00077,PRM005,PRD017,CH001,2025-08,63,1218000,243600,22.9
PRS00078,PRM005,PRD018,CH001,2025-08,135,2871000,574200,2.5
PRS00079,PRM005,PRD019,CH001,2025-08,66,2233000,446600,-19.8
PRS00080,PRM005,PRD020,CH001,2025-08,531,12319200,2463840,174.4
PRS00081,PRM006,PRD008,CH004,2025-09,76,881904,158743,17.5
PRS00082,PRM006,PRD009,CH004,2025-09,56,812280,146210,9.8
PRS00083,PRM006,PRD010,CH004,2025-09,46,355856,64054,-56.5
PRS00084,PRM006,PRD011,CH004,2025-09,16,216608,38989,-29.2
PRS00085,PRM007,PRD016,CH002,2025-09,99,2738736,328648,-5.5
PRS00086,PRM007,PRD017,CH002,2025-09,46,908960,109075,1.0
PRS00087,PRM007,PRD018,CH002,2025-09,113,2456168,294740,4.1
PRS00088,PRM007,PRD019,CH002,2025-09,58,2005640,240677,-10.2
PRS00089,PRM007,PRD020,CH002,2025-09,181,4291872,515025,6.1
PRS00090,PRM007,PRD016,CH002,2025-10,95,2633400,316008,-9.4
PRS00091,PRM007,PRD017,CH002,2025-10,41,811800,97416,-10.0
PRS00092,PRM007,PRD018,CH002,2025-10,102,2221560,266587,-6.0
PRS00093,PRM007,PRD019,CH002,2025-10,54,1871100,224532,-16.4
PRS00094,PRM007,PRD020,CH002,2025-10,70,1663200,199584,-59.0
PRS00095,PRM008,PRD001,CH002,2025-11,164,3247200,649440,39.9
PRS00096,PRM009,PRD001,CH003,2025-11,104,2207920,772772,12.3
PRS00097,PRM008,PRD002,CH002,2025-11,104,1684800,336960,-36.8
PRS00098,PRM009,PRD002,CH003,2025-11,70,1215900,425565,-39.8
PRS00099,PRM008,PRD003,CH002,2025-11,341,9820800,1964160,190.5
PRS00100,PRM009,PRD003,CH003,2025-11,199,6145120,2150792,88.2
PRS00101,PRM008,PRD004,CH002,2025-11,134,3015000,603000,18.9
PRS00102,PRM009,PRD004,CH003,2025-11,99,2388375,835931,14.2
PRS00103,PRM008,PRD005,CH002,2025-11,94,3807000,761400,25.6
PRS00104,PRM009,PRD005,CH003,2025-11,67,2909475,1018316,16.5
PRS00105,PRM008,PRD006,CH002,2025-11,70,3465000,693000,36.2
PRS00106,PRM009,PRD006,CH003,2025-11,39,2069925,724474,0.2
PRS00107,PRM009,PRD008,CH003,2025-11,126,1459080,510678,-2.2
PRS00108,PRM009,PRD009,CH003,2025-11,104,1505400,526890,3.5
PRS00109,PRM009,PRD010,CH003,2025-11,457,3528040,1234814,130.3
PRS00110,PRM009,PRD011,CH003,2025-11,9,121590,42556,-79.9
PRS00111,PRM009,PRD012,CH003,2025-11,118,1821920,637672,6.0
PRS00112,PRM009,PRD013,CH003,2025-11,138,1731210,605924,10.4
PRS00113,PRM009,PRD014,CH003,2025-11,48,1760160,616056,-2.5
PRS00114,PRM009,PRD016,CH003,2025-11,94,2539880,888958,10.7
PRS00115,PRM009,PRD017,CH003,2025-11,33,636900,222915,-3.4
PRS00116,PRM009,PRD018,CH003,2025-11,91,1931930,676176,8.8
PRS00117,PRM009,PRD019,CH003,2025-11,59,1992725,697454,19.9
PRS00118,PRM009,PRD020,CH003,2025-11,57,1320120,462042,-41.2
PRS00119,PRM010,PRD008,CH001,2025-12,209,2407680,361152,5.8
PRS00120,PRM010,PRD009,CH001,2025-12,165,2376000,356400,0.4
PRS00121,PRM010,PRD010,CH001,2025-12,837,6428160,964224,178.3
PRS00122,PRM011,PRD001,CH002,2026-01,118,2471392,444851,0.7
PRS00123,PRM011,PRD002,CH002,2026-01,89,1525104,274519,-45.9
PRS00124,PRM011,PRD003,CH002,2026-01,274,8347136,1502484,133.4
PRS00125,PRM011,PRD004,CH002,2026-01,123,2927400,526932,9.2
PRS00126,PRM011,PRD005,CH002,2026-01,95,4069800,732564,26.9
PRS00127,PRM011,PRD006,CH002,2026-01,62,3246320,584338,20.6
PRS00128,PRM011,PRD008,CH002,2026-01,189,2159136,388644,20.7
PRS00129,PRM011,PRD009,CH002,2026-01,157,2241960,403553,24.7
PRS00130,PRM011,PRD010,CH002,2026-01,597,4546752,818415,154.3
PRS00131,PRM011,PRD012,CH002,2026-01,163,2482816,446907,21.5
