RETURN_ID,PRODUCT_ID,CHANNEL_ID,RETURN_DATE,QTY,REASON,REFUND_AMOUNT
RET00001,PRD010,CH004,2025-01-02,3,품질불량,24000
RET00002,PRD013,CH001,2025-01-02,3,단순변심,39000
RET00003,PRD009,CH001,2025-01-04,3,단순변심,45000
RET00004,PRD011,CH001,2025-01-09,3,오배송,42000
RET00005,PRD003,CH001,2025-01-10,6,단순변심,192000
RET00006,PRD013,CH002,2025-01-10,3,단순변심,39000
RET00007,PRD015,CH001,2025-01-10,3,배송파손,30000
RET00008,PRD008,CH001,2025-01-11,4,품질불량,48000
RET00009,PRD008,CH002,2025-01-14,3,단순변심,36000
RET00010,PRD016,CH001,2025-01-19,3,단순변심,84000
RET00011,PRD004,CH002,2025-01-20,3,배송파손,75000
RET00012,PRD001,CH001,2025-01-22,4,배송파손,88000
RET00013,PRD015,CH002,2025-01-22,3,품질불량,30000
RET00014,PRD003,CH002,2025-01-23,5,품질불량,160000
RET00015,PRD010,CH002,2025-01-23,10,품질불량,80000
RET00016,PRD010,CH001,2025-01-24,9,단순변심,72000
RET00017,PRD010,CH003,2025-01-26,5,품질불량,40000
RET00018,PRD012,CH001,2025-01-26,3,배송파손,48000
RET00019,PRD003,CH003,2025-01-28,3,배송파손,96000
RET00020,PRD012,CH002,2025-02-01,3,단순변심,48000
RET00021,PRD010,CH003,2025-02-03,5,단순변심,40000
RET00022,PRD008,CH001,2025-02-04,3,배송파손,36000
RET00023,PRD010,CH001,2025-02-04,10,단순변심,80000
RET00024,PRD013,CH003,2025-02-04,3,단순변심,39000
RET00025,PRD011,CH001,2025-02-07,3,품질불량,42000
RET00026,PRD008,CH002,2025-02-09,4,품질불량,48000
RET00027,PRD008,CH003,2025-02-09,3,품질불량,36000
RET00028,PRD010,CH002,2025-02-15,9,단순변심,72000
RET00029,PRD012,CH001,2025-02-15,3,배송파손,48000
RET00030,PRD013,CH001,2025-02-15,3,단순변심,39000
RET00031,PRD001,CH001,2025-02-16,3,오배송,66000
RET00032,PRD015,CH001,2025-02-20,3,배송파손,30000
RET00033,PRD003,CH001,2025-02-21,9,품질불량,288000
RET00034,PRD003,CH002,2025-02-22,6,오배송,192000
RET00035,PRD015,CH002,2025-02-22,3,단순변심,30000
RET00036,PRD003,CH003,2025-02-24,4,품질불량,128000
RET00037,PRD010,CH004,2025-02-25,3,단순변심,24000
RET00038,PRD013,CH002,2025-02-26,3,품질불량,39000
RET00039,PRD009,CH001,2025-02-27,3,기타,45000
RET00040,PRD010,CH003,2025-03-02,3,배송파손,24000
RET00041,PRD008,CH003,2025-03-05,3,단순변심,36000
RET00042,PRD013,CH003,2025-03-05,3,단순변심,39000
RET00043,PRD013,CH002,2025-03-08,3,배송파손,39000
RET00044,PRD010,CH001,2025-03-10,6,배송파손,48000
RET00045,PRD008,CH001,2025-03-14,5,오배송,60000
RET00046,PRD016,CH001,2025-03-16,3,단순변심,84000
RET00047,PRD004,CH001,2025-03-18,3,품질불량,75000
RET00048,PRD011,CH001,2025-03-18,3,단순변심,42000
RET00049,PRD017,CH001,2025-03-18,3,품질불량,60000
RET00050,PRD001,CH001,2025-03-20,4,단순변심,88000
RET00051,PRD015,CH001,2025-03-22,4,오배송,40000
RET00052,PRD013,CH001,2025-03-24,4,단순변심,52000
RET00053,PRD008,CH002,2025-03-25,3,단순변심,36000
RET00054,PRD012,CH001,2025-03-25,4,배송파손,64000
