USAGE_ID,METER_ID,USAGE_DATE,USAGE_KWH,PEAK_KW,OFFPEAK_KW,REACTIVE_KVARH,POWER_FACTOR,IS_PEAK_DAY,ESTIMATED_FLAG
1,MTR001,2023-01-01,7691.39,397.56,262.74,533.35,0.969,0,N
2,MTR002,2023-01-01,3044.61,142.82,96.36,676.94,0.931,0,Y
3,MTR003,2023-01-01,9144.39,478.47,320.71,1124.45,0.902,0,N
4,MTR004,2023-01-01,698.74,33.41,28.39,87.97,0.989,0,N
5,MTR005,2023-01-01,9780.81,507.78,394.72,901.76,0.982,0,N
6,MTR006,2023-01-01,1384.11,72.62,50.91,224.6,0.887,0,N
7,MTR007,2023-01-01,7248.41,398.52,306.16,1272.02,0.961,0,N
8,MTR008,2023-01-01,340.39,15.87,11.96,66.08,0.945,0,N
9,MTR009,2023-01-01,12610.98,586.46,404.58,1893.13,0.875,0,N
10,MTR010,2023-01-01,213.4,10.14,7.63,43.9,,0,N
11,MTR011,2023-01-01,8153.16,447.2,252.97,1951.78,0.862,0,N
12,MTR012,2023-01-01,643.8,31.87,23.43,144.52,0.909,0,N
13,MTR013,2023-01-01,3424.46,173.37,109.23,254.1,0.881,0,N
14,MTR014,2023-01-01,714.06,37.75,20.28,158.47,0.86,0,N
15,MTR015,2023-01-01,233.28,11.73,6.98,49.34,,0,N
16,MTR016,2023-01-01,120.24,6.54,3.64,14.17,0.971,0,N
17,MTR017,2023-01-01,13619.55,688.81,362.31,2180.01,0.857,0,N
18,MTR018,2023-01-01,227.4,12.06,7.87,14.04,0.903,0,N
19,MTR019,2023-01-01,44708.23,2033.88,1295.8,8659.16,0.872,0,N
20,MTR020,2023-01-01,209.62,10.48,6.12,17.08,,0,N
21,MTR001,2023-01-02,8749.64,460.87,255.16,1521.36,0.909,1,N
22,MTR002,2023-01-02,3523.34,170.32,129.11,398.97,,1,N
23,MTR003,2023-01-02,11802.22,543.05,369.58,2665.58,0.902,1,N
24,MTR004,2023-01-02,1068.53,59.26,30.97,117.41,0.943,1,N
25,MTR005,2023-01-02,10355.43,496.18,372.99,1831.33,0.887,1,N
26,MTR006,2023-01-02,2299.21,127.63,74.21,407.93,0.887,1,N
27,MTR007,2023-01-02,8499.71,421.15,229.16,1415.22,,1,N
28,MTR008,2023-01-02,604.39,32.08,19.79,42.64,0.959,1,N
29,MTR009,2023-01-02,15053.38,708.62,392.18,827.29,0.953,1,N
30,MTR010,2023-01-02,378.58,17.9,15.36,84.97,0.97,1,N
31,MTR011,2023-01-02,9241.59,492.29,365.67,2059.68,0.985,1,N
32,MTR012,2023-01-02,957.1,51.84,24.55,82.04,0.985,1,N
33,MTR013,2023-01-02,4107.79,210.22,133.14,414.66,,1,N
34,MTR014,2023-01-02,1219.7,62.69,45.44,223.02,0.896,1,N
35,MTR015,2023-01-02,414.73,21.15,15.17,31.29,0.909,1,N
36,MTR016,2023-01-02,119.96,6.66,4.25,16.31,0.931,1,N
37,MTR017,2023-01-02,15759.79,843.73,564.59,2412.67,0.939,1,N
38,MTR018,2023-01-02,191.32,10.57,7.49,27.75,,1,N
39,MTR019,2023-01-02,43691.33,2302.46,1386.31,2233.02,0.955,1,N
40,MTR020,2023-01-02,184.26,10.12,6.67,40.48,0.914,1,N
41,MTR001,2023-01-03,8929.58,427.72,288.81,1929.81,0.927,1,N
42,MTR002,2023-01-03,3432.55,170.9,102.49,360.14,0.861,1,N
43,MTR003,2023-01-03,11015.17,528.92,408.74,1448.71,0.926,1,N
44,MTR004,2023-01-03,1008.41,47.06,29.37,127.14,0.851,1,N
45,MTR005,2023-01-03,11398.4,558.39,414.14,1070.13,,1,N
46,MTR006,2023-01-03,2225.1,120.21,71.85,123.26,0.905,1,Y
47,MTR007,2023-01-03,8682.06,460.67,316.41,1755.91,0.903,1,N
48,MTR008,2023-01-03,529.69,24.08,18.4,95.36,0.959,1,N
49,MTR009,2023-01-03,15410.53,745.27,549.96,1442.32,0.948,1,N
50,MTR010,2023-01-03,364.2,16.66,12.85,20.08,0.894,1,N
51,MTR011,2023-01-03,9421.5,511.83,278.74,2073.28,,1,N
52,MTR012,2023-01-03,1034.54,51.67,37.59,227.51,,1,N
53,MTR013,2023-01-03,4184.8,191.42,142.24,885.67,0.925,1,N
54,MTR014,2023-01-03,1267.91,69.11,34.39,125.23,0.915,1,N
55,MTR015,2023-01-03,358.01,16.89,13.51,80.93,0.948,1,Y
56,MTR016,2023-01-03,120.94,5.75,3.8,21.67,0.919,1,N
57,MTR017,2023-01-03,15966.14,793.4,549.41,3180.25,0.896,1,N
58,MTR018,2023-01-03,173.68,8.62,5.83,15.12,0.88,1,N
59,MTR019,2023-01-03,45977.08,2448.65,1854.04,3948.89,0.852,1,N
60,MTR020,2023-01-03,204.13,9.51,7.46,45.84,0.93,1,N
61,MTR001,2023-01-04,8218.55,419.25,293.57,1445.55,,1,N
62,MTR002,2023-01-04,3539.16,167.23,126.39,546.85,0.913,1,N
63,MTR003,2023-01-04,11343.26,520.56,393.77,1045.91,0.942,1,N
64,MTR004,2023-01-04,2291.73,119.58,81.93,438.62,0.948,1,N
65,MTR005,2023-01-04,11343.46,575.79,332.19,2036.46,0.977,1,N
66,MTR006,2023-01-04,1997.27,104.27,74.79,374.96,0.948,1,N
67,MTR007,2023-01-04,8571.65,451.1,345.48,2077.62,0.967,1,N
68,MTR008,2023-01-04,616.01,29.3,23.12,111.07,0.978,1,N
69,MTR009,2023-01-04,15363.13,742.88,476.61,1781.52,0.947,1,N
70,MTR010,2023-01-04,379.41,19.67,11.44,49.64,0.922,1,N
71,MTR011,2023-01-04,9348.79,456.0,268.39,848.04,0.927,1,N
