RISK_ID,CUSTOMER_ID,YEAR_MONTH,CREDIT_SCORE_CURRENT,PD_PCT,LGD_PCT,EAD_KRW,EXPECTED_LOSS_KRW,RISK_GRADE,RISK_GRADE_PREV,GRADE_CHANGE,COLLATERAL_VALUE_KRW,MARKET_RISK_VAR_KRW,LIQUIDITY_RISK_SCORE
RSK00000001,CUS001,2022-01,420,8.9552,28.16,410056412,10340738,CCC,,,328734968,83366846,10
RSK00000002,CUS001,2022-02,424,8.9405,56.83,482295448,24504883,CCC,CCC,STABLE,645274536,37804690,4
RSK00000003,CUS001,2022-03,420,9.0854,40.89,431929451,16046266,CCC,CCC,STABLE,521502074,79136609,5
RSK00000004,CUS001,2022-04,441,8.9156,32.29,297790111,8572922,CCC,CCC,STABLE,404886267,84416295,1
RSK00000005,CUS001,2022-05,451,9.0874,39.29,135448464,4836105,CCC,CCC,STABLE,184712419,80841413,5
RSK00000006,CUS001,2022-06,469,8.9784,28.93,141747168,3681813,CCC,CCC,STABLE,174004365,32123662,3
RSK00000007,CUS001,2022-07,455,9.0495,39.16,116549298,4130256,CCC,CCC,STABLE,95717986,72816365,6
RSK00000008,CUS001,2022-08,445,8.9313,26.42,163160045,3850005,CCC,CCC,STABLE,228946220,3592742,7
RSK00000009,CUS001,2022-09,436,9.0551,23.87,367854083,7950991,CCC,CCC,STABLE,458313240,87222774,10
RSK00000010,CUS001,2022-10,434,9.0746,22.48,315978242,6445862,CCC,CCC,STABLE,397992878,91734242,6
RSK00000011,CUS001,2022-11,452,14.9001,36.54,232729748,12670963,D,CCC,DOWNGRADE,278475555,45227330,3
RSK00000012,CUS001,2022-12,458,14.8778,74.12,226241037,24948561,D,D,STABLE,181572429,36591381,1
RSK00000013,CUS001,2023-01,434,15.0436,25.61,47558694,1832278,D,D,STABLE,63581376,13195003,1
RSK00000014,CUS001,2023-02,458,14.9558,60.73,298584117,27119372,D,D,STABLE,,71638091,3
RSK00000015,CUS001,2023-03,444,14.9267,33.58,257669800,12915405,D,D,STABLE,349196600,54214175,9
RSK00000016,CUS001,2023-04,425,15.0146,21.21,65336198,2080694,D,D,STABLE,73825302,75289739,3
RSK00000017,CUS001,2023-05,457,14.986,68.72,86425298,8900405,D,D,STABLE,128410966,74184503,5
RSK00000018,CUS001,2023-06,464,15.0065,41.96,434990620,27390174,D,D,STABLE,631358748,35014876,3
RSK00000019,CUS001,2023-07,420,15.1351,33.77,50527900,2582543,D,D,STABLE,63311941,59638100,5
RSK00000020,CUS001,2023-08,430,14.8529,29.41,152345020,6654793,D,D,STABLE,124521701,24091783,2
RSK00000021,CUS001,2023-09,426,14.857,65.26,298236134,28916016,D,D,STABLE,,9076538,3
RSK00000022,CUS001,2023-10,470,14.8545,69.6,483059428,49942220,D,D,STABLE,547011132,61085518,8
RSK00000023,CUS001,2023-11,464,15.0542,74.76,71986655,8101752,D,D,STABLE,,59377028,5
RSK00000024,CUS001,2023-12,434,14.8597,75.81,226681418,25535976,D,D,STABLE,,59620209,7
RSK00000025,CUS001,2024-01,436,15.1011,44.4,362119885,24279734,D,D,STABLE,462446370,63419689,10
RSK00000026,CUS001,2024-02,448,15.0908,26.85,326195382,13217045,D,D,STABLE,401566026,97687124,4
RSK00000027,CUS001,2024-03,432,15.0242,42.31,64479113,4098769,D,D,STABLE,74847790,13942540,1
RSK00000028,CUS001,2024-04,428,14.8887,72.24,23237732,2499357,D,D,STABLE,29647050,27129579,10
RSK00000029,CUS001,2024-05,468,15.1323,25.44,95346735,3670522,D,D,STABLE,138343079,37650719,8
RSK00000030,CUS001,2024-06,424,15.0956,43.86,234996397,15558947,D,D,STABLE,216907078,32508071,10
RSK00000031,CUS001,2024-07,451,14.8641,32.82,46027597,2245409,D,D,STABLE,60272363,22802491,6
RSK00000032,CUS001,2024-08,463,15.0904,63.29,80865000,7723185,D,D,STABLE,115344528,53387122,3
RSK00000033,CUS001,2024-09,457,15.1201,29.31,86786694,3846127,D,D,STABLE,76324655,63162868,6
RSK00000034,CUS001,2024-10,423,14.914,28.6,365188223,15576753,D,D,STABLE,305935115,28766447,10
RSK00000035,CUS001,2024-11,470,14.8903,39.67,301439382,17805970,D,D,STABLE,388564039,37766421,6
RSK00000036,CUS001,2024-12,457,15.1436,23.87,485072435,17534288,D,D,STABLE,497464012,8505866,7
RSK00000037,CUS002,2022-01,357,14.9578,40.04,385894514,23111620,D,,,572084235,,5
RSK00000038,CUS002,2022-02,334,14.8747,21.28,180804854,5723081,D,D,STABLE,229607582,,8
RSK00000039,CUS002,2022-03,326,14.9926,55.31,381566061,31641011,D,D,STABLE,,,7
RSK00000040,CUS002,2022-04,340,15.0037,73.51,223910967,24695633,D,D,STABLE,313627326,,4
RSK00000041,CUS002,2022-05,351,15.1266,36.91,421584986,23538051,D,D,STABLE,371063824,,3
RSK00000042,CUS002,2022-06,334,15.0317,27.97,83212233,3498547,D,D,STABLE,70217640,,6
RSK00000043,CUS002,2022-07,303,15.1119,26.48,132302437,5294255,D,D,STABLE,159129480,,3
RSK00000044,CUS002,2022-08,319,15.0804,62.38,103527362,9738978,D,D,STABLE,84703176,,1
RSK00000045,CUS002,2022-09,328,14.9465,72.98,238410550,26005717,D,D,STABLE,352933139,,3
RSK00000046,CUS002,2022-10,329,14.9895,21.92,311257037,10226967,D,D,STABLE,368781354,,10
RSK00000047,CUS002,2022-11,301,15.0968,33.8,492102969,25110629,D,D,STABLE,577503735,,6
RSK00000048,CUS002,2022-12,351,14.957,67.88,379500524,38529973,D,D,STABLE,373307473,,6
RSK00000049,CUS002,2023-01,326,15.0156,74.8,268052671,30106788,D,D,STABLE,249834363,,2
RSK00000050,CUS002,2023-02,335,15.1355,22.48,420214131,14297619,D,D,STABLE,500948291,,6
RSK00000051,CUS002,2023-03,319,14.9866,29.24,56812935,2489589,D,D,STABLE,79300116,,4
RSK00000052,CUS002,2023-04,332,15.1,66.28,381332467,38164821,D,D,STABLE,349537088,,8
RSK00000053,CUS002,2023-05,316,14.9063,29.03,108078588,4676884,D,D,DOWNGRADE,147218153,,7
RSK00000054,CUS002,2023-06,317,15.0461,55.92,379753538,31951624,D,D,STABLE,354899862,,7
RSK00000055,CUS002,2023-07,328,14.9642,59.91,62672325,5618607,D,D,STABLE,80688289,,10
RSK00000056,CUS002,2023-08,321,14.8941,70.12,188589223,19695774,D,D,STABLE,274622589,,4
RSK00000057,CUS002,2023-09,336,14.9376,43.51,209741519,13631835,D,D,STABLE,235724171,,1
RSK00000058,CUS002,2023-10,308,15.0669,26.98,57621396,2342338,D,D,STABLE,46597176,,4
RSK00000059,CUS002,2023-11,344,14.8671,43.53,82235925,5322020,D,D,STABLE,104799095,,3
RSK00000060,CUS002,2023-12,307,15.0482,67.53,128486983,13056911,D,D,STABLE,132957580,,2
RSK00000061,CUS002,2024-01,302,15.0348,66.12,329381854,32743882,D,D,STABLE,413362890,,10
RSK00000062,CUS002,2024-02,326,15.0168,20.12,223916674,6765374,D,D,STABLE,282463912,,5
RSK00000063,CUS002,2024-03,341,14.927,33.76,356492612,17964929,D,D,STABLE,372527126,,10
RSK00000064,CUS002,2024-04,321,14.9492,29.42,141290229,6214021,D,D,STABLE,142381939,,3
RSK00000065,CUS002,2024-05,310,15.0985,44.19,141145850,9417289,D,D,STABLE,184789215,,3
RSK00000066,CUS002,2024-06,321,15.1498,36.18,155826955,8541183,D,D,STABLE,222249390,,8
RSK00000067,CUS002,2024-07,334,15.0047,32.39,48042718,2334887,D,D,STABLE,61693513,,8
RSK00000068,CUS002,2024-08,328,14.8929,26.75,188645479,7515354,D,D,STABLE,268682286,,3
RSK00000069,CUS002,2024-09,341,14.8671,67.1,27455429,2738905,D,D,STABLE,,,6
RSK00000070,CUS002,2024-10,335,15.1281,72.52,83513026,9162129,D,D,STABLE,82005913,,1
RSK00000071,CUS002,2024-11,345,14.9307,60.51,177636404,16048679,D,D,STABLE,255584949,,4
RSK00000072,CUS002,2024-12,330,14.8907,68.3,42429685,4315247,D,D,STABLE,42211759,,4
RSK00000073,CUS003,2022-01,448,9.0093,79.76,93379294,6710066,CCC,,,131678119,72867770,7
RSK00000074,CUS003,2022-02,436,9.023,32.91,446990680,13273251,CCC,CCC,STABLE,405955685,72753251,8
RSK00000075,CUS003,2022-03,447,9.0808,57.57,377722502,19746640,CCC,CCC,STABLE,417284403,59622585,6
RSK00000076,CUS003,2022-04,470,9.046,41.04,470032454,17449853,CCC,CCC,STABLE,668130627,27251039,10
RSK00000077,CUS003,2022-05,435,9.0179,42.97,486801836,18863530,CCC,CCC,STABLE,460106817,61087786,8
RSK00000078,CUS003,2022-06,444,8.9932,39.73,12322457,440281,CCC,CCC,STABLE,15838906,59157998,10
RSK00000079,CUS003,2022-07,485,8.9118,28.6,51473566,1311945,CCC,CCC,STABLE,64593700,96887137,4
RSK00000080,CUS003,2022-08,489,8.9452,70.79,475934198,30137615,CCC,CCC,STABLE,631306879,91464524,8
RSK00000081,CUS003,2022-09,487,9.0547,37.81,62246260,2131052,CCC,CCC,STABLE,74450892,27775357,2
RSK00000082,CUS003,2022-10,467,8.9448,26.81,74360739,1783246,CCC,CCC,STABLE,80113850,24398433,3
RSK00000083,CUS003,2022-11,476,8.9289,71.49,65294188,4167905,CCC,CCC,STABLE,62823404,58246362,3
RSK00000084,CUS003,2022-12,463,9.0101,43.67,182238633,7170563,CCC,CCC,STABLE,265544953,81665633,6
RSK00000085,CUS003,2023-01,443,9.0693,43.24,45138255,1770126,CCC,CCC,STABLE,66557388,91247956,10
RSK00000086,CUS003,2023-02,469,8.989,56.7,138855868,7077155,CCC,CCC,STABLE,114552448,34330896,7
RSK00000087,CUS003,2023-03,466,8.9998,22.39,42686648,860160,CCC,CCC,STABLE,35248813,49552086,5
RSK00000088,CUS003,2023-04,477,8.9105,31.08,405280136,11223761,CCC,CCC,STABLE,400163988,6446823,2
RSK00000089,CUS003,2023-05,441,14.9543,78.75,298282303,35127249,D,CCC,DOWNGRADE,336125650,9816487,10
RSK00000090,CUS003,2023-06,477,14.9511,35.33,457436469,24162817,D,D,STABLE,479682173,24182887,8
RSK00000091,CUS003,2023-07,437,15.1166,27.1,296708775,12154968,D,D,STABLE,400292208,90625912,5
RSK00000092,CUS003,2023-08,443,14.9059,31.65,69466804,3277247,D,D,STABLE,66014434,99233591,1
RSK00000093,CUS003,2023-09,460,15.0115,20.63,281337343,8712659,D,D,STABLE,396453964,27367845,10
RSK00000094,CUS003,2023-10,466,15.0954,29.81,431208839,19404134,D,D,STABLE,418445438,30690014,2
RSK00000095,CUS003,2023-11,464,15.1476,67.56,367844284,37644149,D,D,STABLE,,50968193,2
RSK00000096,CUS003,2023-12,476,14.9491,64.38,214345048,20629062,D,D,STABLE,,73820944,6
RSK00000097,CUS003,2024-01,490,15.0707,27.26,76737711,3152595,D,D,STABLE,105285527,82018278,6
RSK00000098,CUS003,2024-02,459,14.9816,42.27,64466083,4082458,D,D,STABLE,59263055,99374737,1
RSK00000099,CUS003,2024-03,460,14.912,26.01,164175098,6367714,D,D,STABLE,227705035,34372931,8
RSK00000100,CUS003,2024-04,446,15.0999,25.06,376627571,14251719,D,D,STABLE,471643485,70974825,9
RSK00000101,CUS003,2024-05,458,14.8527,70.38,171044301,17879826,D,D,STABLE,,80588741,10
RSK00000102,CUS003,2024-06,454,14.974,76.94,212583846,24491776,D,D,STABLE,287002179,90530932,3
RSK00000103,CUS003,2024-07,493,14.9208,59.51,235644958,20923783,D,D,STABLE,320916664,10738213,2
RSK00000104,CUS003,2024-08,457,14.9727,39.28,87795318,5163485,D,D,STABLE,112839045,71153721,2
RSK00000105,CUS003,2024-09,493,14.8872,65.32,488399308,47493507,D,D,STABLE,656825606,29889657,1
RSK00000106,CUS003,2024-10,475,14.8802,68.32,296076242,30099563,D,D,STABLE,,57826723,4
RSK00000107,CUS003,2024-11,482,14.8742,79.01,147550253,17340261,D,D,STABLE,,94709853,4
RSK00000108,CUS003,2024-12,440,14.8524,33.93,114498512,5770060,D,D,STABLE,140584499,88038594,8
RSK00000109,CUS004,2022-01,369,15.1082,62.65,405530118,38384591,D,,,478863346,,2
RSK00000110,CUS004,2022-02,324,15.0611,68.14,481888924,49454494,D,D,STABLE,,,2
RSK00000111,CUS004,2022-03,346,14.8753,20.59,254539717,7796104,D,D,STABLE,258804324,,9
RSK00000112,CUS004,2022-04,329,15.0521,79.22,69885722,8333365,D,D,STABLE,92238234,,3
RSK00000113,CUS004,2022-05,363,14.8551,60.64,32156477,2896698,D,D,STABLE,,,4
RSK00000114,CUS004,2022-06,332,15.1185,23.37,2160606,76338,D,D,STABLE,1819133,,2
RSK00000115,CUS004,2022-07,361,14.9809,32.97,387201365,19124660,D,D,STABLE,465632466,,9
RSK00000116,CUS004,2022-08,320,15.0937,76.91,266865785,30979287,D,D,STABLE,233092262,,3
RSK00000117,CUS004,2022-09,316,15.0242,24.83,140861697,5254858,D,D,STABLE,201549765,,1
RSK00000118,CUS004,2022-10,347,15.074,27.66,320367999,13357642,D,D,STABLE,295175697,,2
RSK00000119,CUS004,2022-11,365,14.8701,21.7,184695311,5959770,D,D,STABLE,228512867,,9
RSK00000120,CUS004,2022-12,356,15.0414,44.21,469234444,31203166,D,D,STABLE,604933809,,6
RSK00000121,CUS004,2023-01,314,14.8583,26.93,385869449,15439949,D,D,STABLE,505362852,,6
RSK00000122,CUS004,2023-02,345,15.1328,67.03,63831216,6474730,D,D,STABLE,64789068,,5
RSK00000123,CUS004,2023-03,333,15.1363,30.89,3673252,171747,D,D,STABLE,5304316,,10
RSK00000124,CUS004,2023-04,346,15.1363,66.48,327607875,32965910,D,D,STABLE,321862382,,10
RSK00000125,CUS004,2023-05,350,15.0703,43.58,294657467,19352032,D,D,STABLE,429305725,,10
RSK00000126,CUS004,2023-06,330,15.1404,39.01,413374286,24415002,D,D,STABLE,423356862,,8
RSK00000127,CUS004,2023-07,363,15.0531,67.5,58133819,5906886,D,D,STABLE,69586208,,5
RSK00000128,CUS004,2023-08,318,14.8807,32.41,61095622,2946541,D,D,STABLE,80882781,,4
RSK00000129,CUS004,2023-09,357,14.8696,65.69,66001560,6446927,D,D,STABLE,,,5
RSK00000130,CUS004,2023-10,373,14.8855,57.85,33187033,2857822,D,D,STABLE,28674171,,7
RSK00000131,CUS004,2023-11,314,14.9836,79.68,14003184,1671831,D,D,STABLE,19517018,,8
RSK00000132,CUS004,2023-12,354,15.1307,64.38,339419808,33063375,D,D,STABLE,478061159,,5
RSK00000133,CUS004,2024-01,336,15.1166,41.97,130230533,8262394,D,D,STABLE,134810689,,8
RSK00000134,CUS004,2024-02,372,15.0815,21.19,18504153,591350,D,D,STABLE,27042284,,1
RSK00000135,CUS004,2024-03,322,14.9295,38.94,329284552,19143113,D,D,STABLE,293905824,,7
RSK00000136,CUS004,2024-04,348,14.8833,76.19,370879404,42056190,D,D,STABLE,,,5
RSK00000137,CUS004,2024-05,339,14.9927,41.06,111716575,6877275,D,D,STABLE,101240957,,4
RSK00000138,CUS004,2024-06,358,14.9789,25.19,449879128,16974771,D,D,STABLE,429287011,,9
RSK00000139,CUS004,2024-07,325,15.0095,57.41,252617645,21767946,D,D,STABLE,,,10
RSK00000140,CUS004,2024-08,342,14.9286,28.15,98862634,4154604,D,D,STABLE,93070942,,6
RSK00000141,CUS004,2024-09,357,15.1092,39.26,294247951,17454412,D,D,STABLE,425852625,,4
RSK00000142,CUS004,2024-10,349,14.9731,77.84,352451734,41078465,D,D,STABLE,460247168,,10
