TRANSACTION_ID,CUSTOMER_ID,PRODUCT_ID,BRANCH_ID,TRANSACTION_DATE,TRANSACTION_TIME,TRANSACTION_TYPE,AMOUNT_KRW,BALANCE_AFTER_KRW,CHANNEL,CURRENCY,IS_ANOMALY,ANOMALY_TYPE,STATUS
TXN00000001,CUS035,PRD006,BRN007,2023-01-01,12:43:40,대출실행,177196586,207147685,영업점,KRW,N,,COMPLETED
TXN00000002,CUS039,PRD008,BRN004,2023-01-01,14:05:18,매도,190409652,230795985,ATM,KRW,N,,COMPLETED
TXN00000003,CUS027,PRD001,,2023-01-01,08:12:59,출금,162386982,193922300,모바일앱,KRW,N,,COMPLETED
TXN00000004,CUS033,PRD008,,2023-01-01,14:48:31,매수,135728046,184135304,모바일앱,KRW,N,,REVERSED
TXN00000005,CUS003,PRD018,BRN014,2023-01-01,08:10:43,외환거래,31546997,71877767,영업점,JPY,N,,COMPLETED
TXN00000006,CUS041,PRD003,BRN007,2023-01-01,11:55:05,입금,53614454,99398776,ATM,KRW,N,,COMPLETED
TXN00000007,CUS007,PRD013,,2023-01-01,12:34:35,카드결제,150569330,153826513,모바일앱,KRW,N,,COMPLETED
TXN00000008,CUS043,PRD010,,2023-01-01,17:07:41,자동이체,8693498,28608639,모바일앱,KRW,N,,COMPLETED
TXN00000009,CUS011,PRD013,,2023-01-01,13:01:14,카드결제,182041601,182612062,자동이체,KRW,N,,COMPLETED
TXN00000010,CUS018,PRD024,,2023-01-01,19:30:44,입금,142770036,188429981,모바일앱,KRW,N,,COMPLETED
TXN00000011,CUS013,PRD002,,2023-01-01,20:28:04,이체,104807606,109835325,모바일앱,KRW,N,,COMPLETED
TXN00000012,CUS037,PRD023,,2023-01-01,22:26:50,대출상환,104024962,131517059,인터넷뱅킹,KRW,N,,COMPLETED
TXN00000013,CUS045,PRD009,,2023-01-01,13:24:14,매수,4888105393,,인터넷뱅킹,KRW,N,,COMPLETED
TXN00000014,CUS024,PRD020,,2023-01-01,16:52:58,매도,1603878,16204883,인터넷뱅킹,KRW,N,,COMPLETED
TXN00000015,CUS004,PRD009,,2023-01-01,12:15:15,매도,2255108,,모바일앱,KRW,N,,COMPLETED
TXN00000016,CUS006,PRD005,,2023-01-01,21:17:00,대출실행,2949096,17568474,모바일앱,KRW,N,,REVERSED
TXN00000017,CUS004,PRD008,,2023-01-01,11:40:08,매수,163301984,181004123,모바일앱,KRW,N,,COMPLETED
TXN00000018,CUS030,PRD006,,2023-01-01,15:36:44,대출상환,62089783,69713619,모바일앱,KRW,N,,FAILED
