DELAY_ID,DELIVERY_ID,VEHICLE_ID,ROUTE_ID,DELAY_DATE,SCHEDULED_ARRIVAL,ACTUAL_ARRIVAL,DELAY_MINUTES,DELAY_CAUSE,SEVERITY,CUSTOMER_COMPLAINT,COMPENSATION_KRW,RESOLUTION_STATUS
DLY000001,DLV0002673,VHC013,RTE017,2023-04-25,22:45,22:59,14,집하지연,MINOR,N,,RESOLVED
DLY000002,DLV0001415,VHC002,RTE004,2023-03-01,00:40,02:09,89,교통체증,MODERATE,N,,RESOLVED
DLY000003,DLV0008149,VHC007,RTE004,2023-12-24,00:04,00:31,27,교통체증,MINOR,N,,PENDING
DLY000004,DLV0011167,VHC016,RTE012,2024-05-06,11:27,,14,수취인부재,MINOR,N,,RESOLVED
DLY000005,DLV0000926,VHC013,RTE019,2023-02-09,10:07,11:39,92,설비고장,MODERATE,N,,RESOLVED
DLY000006,DLV0007528,VHC011,RTE011,2023-11-28,11:36,14:31,175,교통체증,SEVERE,Y,10000,RESOLVED
DLY000007,DLV0001346,VHC024,RTE017,2023-02-26,22:51,23:15,24,날씨,MINOR,Y,2000,RESOLVED
DLY000008,DLV0013376,VHC013,RTE004,2024-08-09,00:56,01:02,6,교통체증,MINOR,Y,,RESOLVED
DLY000009,DLV0005622,VHC004,RTE011,2023-09-02,11:24,11:39,15,설비고장,MINOR,N,,RESOLVED
DLY000010,DLV0006463,VHC019,RTE016,2023-10-10,04:17,04:45,28,인력부족,MINOR,N,,RESOLVED
DLY000011,DLV0014247,VHC015,RTE015,2024-09-17,12:25,12:43,18,집하지연,MINOR,N,,RESOLVED
DLY000012,DLV0007350,VHC004,RTE010,2023-11-20,09:07,09:19,12,사고,MINOR,N,,RESOLVED
DLY000013,DLV0014008,VHC015,RTE017,2024-09-06,20:27,20:49,22,교통체증,MINOR,N,,RESOLVED
DLY000014,DLV0009749,VHC013,RTE001,2024-03-05,04:34,04:54,20,날씨,MINOR,N,,ESCALATED
DLY000015,DLV0009255,VHC001,RTE010,2024-02-12,09:30,,86,집하지연,MODERATE,N,,PENDING
DLY000016,DLV0001868,VHC010,RTE004,2023-03-21,23:32,01:04,92,집하지연,MODERATE,N,,RESOLVED
DLY000017,DLV0006150,VHC025,RTE001,2023-09-25,03:16,03:55,39,사고,MODERATE,Y,3000,RESOLVED
DLY000018,DLV0003915,VHC016,RTE013,2023-06-19,12:26,12:48,22,사고,MINOR,N,,RESOLVED
DLY000019,DLV0010770,VHC003,RTE016,2024-04-19,02:46,03:11,25,집하지연,MINOR,N,,PENDING
DLY000020,DLV0003251,VHC016,RTE011,2023-05-20,07:34,07:48,14,날씨,MINOR,Y,,RESOLVED
DLY000021,DLV0000461,VHC016,RTE019,2023-01-20,13:13,13:39,26,날씨,MINOR,N,,RESOLVED
DLY000022,DLV0014785,VHC004,RTE015,2024-10-13,12:41,14:01,80,설비고장,MODERATE,N,,RESOLVED
DLY000023,DLV0011181,VHC017,RTE012,2024-05-07,13:41,,7,교통체증,MINOR,N,,RESOLVED
DLY000024,DLV0011373,VHC005,RTE007,2024-05-15,11:21,11:35,14,사고,MINOR,N,,RESOLVED
DLY000025,DLV0008071,VHC002,RTE012,2023-12-22,13:46,15:20,94,교통체증,MODERATE,Y,,RESOLVED
DLY000026,DLV0002321,VHC019,RTE008,2023-04-10,07:40,08:03,23,수취인부재,MINOR,Y,,RESOLVED
DLY000027,DLV0010531,VHC017,RTE019,2024-04-09,13:28,17:35,247,날씨,SEVERE,Y,3000,PENDING
DLY000028,DLV0006350,VHC008,RTE010,2023-10-05,11:36,12:11,35,사고,MODERATE,N,,ESCALATED
DLY000029,DLV0000086,VHC022,RTE001,2023-01-05,02:53,03:05,12,수취인부재,MINOR,N,,RESOLVED
DLY000030,DLV0002920,VHC004,RTE006,2023-05-06,08:55,09:28,33,사고,MODERATE,N,,RESOLVED
DLY000031,DLV0008334,VHC022,RTE009,2024-01-02,07:19,08:11,52,집하지연,MODERATE,N,,RESOLVED
DLY000032,DLV0016277,VHC010,RTE019,2024-12-16,12:29,13:44,75,수취인부재,MODERATE,Y,,RESOLVED
DLY000033,DLV0007730,VHC001,RTE010,2023-12-07,09:47,10:26,39,사고,MODERATE,N,,RESOLVED
DLY000034,DLV0014393,VHC020,RTE003,2024-09-24,01:56,05:31,215,교통체증,SEVERE,Y,3000,RESOLVED
DLY000035,DLV0002163,VHC017,RTE001,2023-04-03,02:33,,20,집하지연,MINOR,N,,PENDING
DLY000036,DLV0005691,VHC007,RTE005,2023-09-05,10:39,11:44,65,교통체증,MODERATE,Y,1000,RESOLVED
