DEFECT_ID,LINE_ID,EQUIPMENT_ID,PRODUCT_ID,DEFECT_DATE,DEFECT_TYPE,INSPECTED_QTY,DEFECT_QTY,DEFECT_RATE_PCT,SEVERITY,DISPOSITION,REWORK_COST_KRW,ROOT_CAUSE
DFT-000001,LINE-03,EQP012,PRD008,2024-01-12,기능불량,264,2,0.76,MAJOR,특채,,설비마모
DFT-000002,LINE-03,EQP004,PRD007,2024-04-16,용접불량,151,2,1.32,MAJOR,폐기,,설비마모
DFT-000003,LINE-03,EQP004,PRD009,2023-08-09,치수불량,222,3,1.35,MINOR,특채,,환경요인
DFT-000004,LINE-02,EQP013,PRD004,2024-03-07,치수불량,352,4,1.14,MINOR,특채,,설비마모
DFT-000005,LINE-03,EQP004,PRD008,2024-12-07,기능불량,331,2,0.6,MINOR,재작업,1423040,원자재불량
DFT-000006,LINE-04,EQP006,PRD012,2024-09-18,외관불량,438,7,1.6,MAJOR,폐기,,작업자오류
DFT-000007,LINE-01,EQP002,PRD003,2023-12-07,외관불량,136,1,0.74,MAJOR,특채,,원자재불량
DFT-000008,LINE-03,EQP012,PRD009,2024-02-22,용접불량,339,3,0.88,MINOR,재작업,988618,설비마모
DFT-000009,LINE-01,EQP011,PRD002,2024-01-21,기능불량,184,1,0.54,MINOR,폐기,,
DFT-000010,LINE-05,EQP007,PRD013,2023-06-05,기능불량,348,5,1.44,MAJOR,재작업,439107,공정파라미터
DFT-000011,LINE-04,EQP006,PRD011,2024-12-18,도장불량,383,1,0.26,MINOR,폐기,,환경요인
DFT-000012,LINE-04,EQP006,PRD012,2024-10-28,도장불량,347,3,0.86,MINOR,재작업,,원자재불량
DFT-000013,LINE-05,EQP014,PRD013,2024-07-13,외관불량,313,4,1.28,MINOR,폐기,,설비마모
DFT-000014,LINE-01,EQP011,PRD001,2023-04-04,외관불량,431,8,1.86,MINOR,특채,,
DFT-000015,LINE-05,EQP007,PRD015,2024-02-28,외관불량,308,5,1.62,MINOR,폐기,,원자재불량
DFT-000016,LINE-02,EQP003,PRD005,2024-05-14,치수불량,489,7,1.43,MINOR,폐기,,공정파라미터
DFT-000017,LINE-02,EQP003,PRD004,2024-07-26,치수불량,169,1,0.59,MAJOR,재작업,,환경요인
DFT-000018,LINE-04,EQP006,PRD012,2024-08-06,외관불량,110,1,0.91,MAJOR,재작업,,환경요인
DFT-000019,LINE-03,EQP005,PRD008,2024-04-28,기능불량,415,7,1.69,MAJOR,재작업,,공정파라미터
DFT-000020,LINE-04,EQP006,PRD012,2024-12-09,도장불량,79,1,1.27,MAJOR,재작업,,
DFT-000021,LINE-03,EQP004,PRD008,2023-01-18,용접불량,488,6,1.23,MINOR,재작업,1167912,작업자오류
