PRODUCTION_ID,LINE_ID,PRODUCT_ID,PRODUCTION_DATE,SHIFT,PLANNED_OUTPUT,ACTUAL_OUTPUT,UTILIZATION_RATE_PCT,OPERATION_HOURS,DOWNTIME_HOURS,DOWNTIME_REASON,YIELD_RATE_PCT
PRD-000001,LINE-01,PRD001,2023-01-01,주간,807,54,6.7,4.9,,,99.12
PRD-000002,LINE-01,PRD001,2023-01-02,주간,799,242,30.3,11.9,10.7,설비고장,94.31
PRD-000003,LINE-01,PRD001,2023-01-03,전일,877,680,77.5,21.4,,,99.35
PRD-000004,LINE-01,PRD001,2023-01-04,전일,781,700,89.6,23.2,,,97.88
PRD-000005,LINE-01,PRD001,2023-01-05,주간,810,152,18.8,5.5,,,96.67
PRD-000006,LINE-01,PRD001,2023-01-06,전일,909,816,89.8,21.5,,,98.92
PRD-000007,LINE-01,PRD001,2023-01-07,전일,864,752,87.0,22.4,,,98.55
PRD-000008,LINE-01,PRD001,2023-01-08,전일,910,783,86.0,22.7,,,98.72
PRD-000009,LINE-01,PRD001,2023-01-09,전일,825,626,75.9,20.9,,,99.1
PRD-000010,LINE-01,PRD001,2023-01-10,전일,788,692,87.8,23.0,,,98.04
PRD-000011,LINE-01,PRD001,2023-01-11,전일,787,657,83.5,23.4,,,96.56
PRD-000012,LINE-01,PRD001,2023-01-12,전일,823,701,85.2,22.1,,,99.01
PRD-000013,LINE-01,PRD001,2023-01-13,전일,845,671,79.4,20.4,,,97.59
PRD-000014,LINE-01,PRD001,2023-01-14,전일,793,720,90.8,23.4,,,96.7
PRD-000015,LINE-01,PRD001,2023-01-15,전일,880,740,84.1,22.4,,,96.39
PRD-000016,LINE-01,PRD001,2023-01-16,전일,802,679,84.7,20.3,,,96.24
PRD-000017,LINE-01,PRD001,2023-01-17,전일,836,706,84.4,22.1,,,99.38
PRD-000018,LINE-01,PRD001,2023-01-18,전일,870,711,81.7,21.8,,,96.42
PRD-000019,LINE-01,PRD001,2023-01-19,전일,852,671,78.8,20.0,,,96.21
PRD-000020,LINE-01,PRD001,2023-01-20,전일,778,614,78.9,20.9,2.8,라인전환,98.02
PRD-000021,LINE-01,PRD001,2023-01-21,전일,781,643,82.3,21.6,,,96.19
PRD-000022,LINE-01,PRD001,2023-01-22,주간,825,83,10.1,5.4,18.1,계획정비,96.67
PRD-000023,LINE-01,PRD001,2023-01-23,전일,803,731,91.0,23.2,,,96.34
PRD-000024,LINE-01,PRD001,2023-01-24,전일,907,826,91.1,20.7,,,96.75
PRD-000025,LINE-01,PRD001,2023-01-25,전일,768,627,81.6,21.1,,,98.56
PRD-000026,LINE-01,PRD001,2023-01-26,전일,838,654,78.0,23.9,,,97.9
PRD-000027,LINE-01,PRD001,2023-01-27,전일,852,712,83.6,20.2,,,98.98
PRD-000028,LINE-01,PRD001,2023-01-28,전일,892,730,81.8,22.3,0.7,라인전환,97.98
PRD-000029,LINE-01,PRD001,2023-01-29,전일,813,646,79.5,22.7,,,97.11
PRD-000030,LINE-01,PRD001,2023-01-30,주간,857,289,33.7,5.0,18.6,설비고장,90.39
PRD-000031,LINE-01,PRD001,2023-01-31,전일,821,636,77.5,22.4,,,98.29
PRD-000032,LINE-01,PRD001,2023-02-01,전일,863,895,103.7,21.1,,,98.6
PRD-000033,LINE-01,PRD001,2023-02-02,전일,817,806,98.7,22.0,,,99.18
PRD-000034,LINE-01,PRD001,2023-02-03,전일,774,709,91.6,22.5,,,98.59
PRD-000035,LINE-01,PRD001,2023-02-04,주간,778,412,53.0,11.6,10.7,설비고장,93.24
PRD-000036,LINE-01,PRD001,2023-02-05,전일,882,901,102.2,20.8,,,96.36
