INVENTORY_ID,PART_ID,WAREHOUSE_ID,SNAPSHOT_DATE,STOCK_QTY,SAFETY_STOCK_QTY,REORDER_POINT,STOCK_STATUS,INVENTORY_VALUE_KRW,LAST_MOVEMENT_DATE
INV000001,PT001,WH001,2022-03-31,33,1,15,NORMAL,59400000,2022-02-10
INV000002,PT001,WH002,2022-03-31,12,1,13,LOW,21600000,2022-03-18
INV000003,PT001,WH003,2022-03-31,4,1,8,LOW,7200000,2022-02-15
INV000004,PT001,WH004,2022-03-31,5,1,3,NORMAL,9000000,2022-01-19
INV000005,PT001,WH005,2022-03-31,4,1,2,NORMAL,7200000,2022-01-16
INV000006,PT001,WH006,2022-03-31,33,12,12,OVERSTOCK,59400000,2022-01-10
INV000007,PT002,WH001,2022-03-31,8,9,9,CRITICAL,16000000,2022-03-05
INV000008,PT002,WH002,2022-03-31,27,1,10,OVERSTOCK,54000000,2022-02-06
INV000009,PT002,WH003,2022-03-31,2,1,3,LOW,4000000,2022-02-15
INV000010,PT002,WH004,2022-03-31,7,1,4,NORMAL,14000000,2022-02-07
INV000011,PT002,WH005,2022-03-31,9,1,6,NORMAL,18000000,2022-01-29
INV000012,PT002,WH006,2022-03-31,3,1,2,NORMAL,6000000,2022-02-12
INV000013,PT003,WH001,2022-03-31,21,9,9,NORMAL,17850000,2022-03-04
INV000014,PT003,WH002,2022-03-31,33,1,13,OVERSTOCK,28050000,2022-01-27
INV000015,PT003,WH003,2022-03-31,4,1,5,LOW,3400000,2022-01-15
INV000016,PT003,WH004,2022-03-31,6,1,5,NORMAL,5100000,2022-01-18
INV000017,PT003,WH005,2022-03-31,1,1,3,LOW,850000,2022-01-20
INV000018,PT003,WH006,2022-03-31,7,1,3,NORMAL,5950000,2022-01-27
INV000019,PT004,WH001,2022-03-31,20,8,8,OVERSTOCK,12400000,2022-01-12
INV000020,PT004,WH002,2022-03-31,7,1,4,NORMAL,4340000,2022-01-27
INV000021,PT004,WH003,2022-03-31,31,1,12,OVERSTOCK,19220000,
INV000022,PT004,WH004,2022-03-31,23,1,9,OVERSTOCK,14260000,
INV000023,PT004,WH005,2022-03-31,2,1,5,LOW,1240000,2022-03-17
INV000024,PT004,WH006,2022-03-31,3,1,3,NORMAL,1860000,2022-03-30
INV000025,PT005,WH001,2022-03-31,39,2,35,NORMAL,14820000,2022-03-05
INV000026,PT005,WH002,2022-03-31,48,2,34,NORMAL,18240000,2022-01-10
INV000027,PT005,WH003,2022-03-31,12,1,17,LOW,4560000,
INV000028,PT005,WH004,2022-03-31,38,1,13,OVERSTOCK,14440000,2022-03-19
INV000029,PT005,WH005,2022-03-31,4,1,16,LOW,1520000,2022-02-08
INV000030,PT005,WH006,2022-03-31,3,1,6,LOW,1140000,2022-02-26
INV000031,PT006,WH001,2022-03-31,111,3,44,OVERSTOCK,24420000,2022-03-28
INV000032,PT006,WH002,2022-03-31,35,2,31,NORMAL,7700000,2022-01-05
INV000033,PT006,WH003,2022-03-31,32,1,17,NORMAL,7040000,2022-02-15
INV000034,PT006,WH004,2022-03-31,44,1,15,OVERSTOCK,9680000,2022-01-22
INV000035,PT006,WH005,2022-03-31,27,1,13,NORMAL,5940000,
INV000036,PT006,WH006,2022-03-31,9,1,6,NORMAL,1980000,2022-02-10
INV000037,PT007,WH001,2022-03-31,29,1,19,NORMAL,13920000,2022-02-01
