DEMAND_ID,PART_ID,WAREHOUSE_ID,YEAR_MONTH,DEMAND_TYPE_ACTUAL,DEMAND_QTY,FORECAST_QTY,FORECAST_ERROR_PCT,UNIT_COST_KRW,DEMAND_AMOUNT_KRW
DMD000001,PT001,WH001,2022-01,REGULAR,16,14,12.5,1800000,28800000
DMD000002,PT001,WH002,2022-01,REGULAR,41,,,1800000,73800000
DMD000003,PT001,WH003,2022-01,REGULAR,0,0,,1800000,0
DMD000004,PT001,WH004,2022-01,REGULAR,0,,,1800000,0
DMD000005,PT001,WH005,2022-01,REGULAR,11,11,0.0,1800000,19800000
DMD000006,PT001,WH006,2022-01,REGULAR,0,0,,1800000,0
DMD000007,PT002,WH001,2022-01,REGULAR,0,,,2000000,0
DMD000008,PT002,WH002,2022-01,REGULAR,15,,,2000000,30000000
DMD000009,PT002,WH003,2022-01,REGULAR,12,12,0.0,2000000,24000000
DMD000010,PT002,WH004,2022-01,REGULAR,7,7,0.0,2000000,14000000
DMD000011,PT002,WH005,2022-01,REGULAR,8,6,25.0,2000000,16000000
DMD000012,PT002,WH006,2022-01,REGULAR,0,,,2000000,0
DMD000013,PT003,WH001,2022-01,REGULAR,0,,,850000,0
DMD000014,PT003,WH002,2022-01,REGULAR,0,0,,850000,0
DMD000015,PT003,WH003,2022-01,REGULAR,0,0,,850000,0
DMD000016,PT003,WH004,2022-01,REGULAR,20,18,10.0,850000,17000000
DMD000017,PT003,WH005,2022-01,REGULAR,0,0,,850000,0
DMD000018,PT003,WH006,2022-01,REGULAR,8,8,0.0,850000,6800000
DMD000019,PT004,WH001,2022-01,REGULAR,0,,,620000,0
DMD000020,PT004,WH002,2022-01,REGULAR,0,0,,620000,0
DMD000021,PT004,WH003,2022-01,REGULAR,48,50,4.17,620000,29760000
DMD000022,PT004,WH004,2022-01,REGULAR,24,22,8.33,620000,14880000
DMD000023,PT004,WH005,2022-01,REGULAR,0,0,,620000,0
DMD000024,PT004,WH006,2022-01,REGULAR,0,0,,620000,0
DMD000025,PT005,WH001,2022-01,KIT,70,,,380000,26600000
DMD000026,PT005,WH002,2022-01,KIT,65,56,13.85,380000,24700000
DMD000027,PT005,WH003,2022-01,EMERGENCY,36,39,8.33,380000,13680000
DMD000028,PT005,WH004,2022-01,KIT,29,26,10.34,380000,11020000
DMD000029,PT005,WH005,2022-01,KIT,35,39,11.43,380000,13300000
DMD000030,PT005,WH006,2022-01,KIT,12,,,380000,4560000
DMD000031,PT006,WH001,2022-01,REGULAR,116,120,3.45,220000,25520000
DMD000032,PT006,WH002,2022-01,REGULAR,75,75,0.0,220000,16500000
DMD000033,PT006,WH003,2022-01,REGULAR,48,,,220000,10560000
