ORDER_ID,PART_ID,SUPPLIER_ID,WAREHOUSE_ID,ORDER_DATE,PROMISED_DATE,ACTUAL_DATE,ORDER_QTY,RECEIVED_QTY,UNIT_COST_KRW,ORDER_AMOUNT_KRW,DELAY_DAYS,ORDER_TYPE,STATUS
ORD000001,PT005,SUP004,WH005,2022-01-01,2022-01-08,2022-01-19,80,80,363671,29093680,11,EMERGENCY,DELAYED
ORD000002,PT010,SUP003,WH002,2022-01-01,2022-01-15,2022-01-18,79,79,921036,72761844,0,REGULAR,DELIVERED
ORD000003,PT016,SUP002,WH006,2022-01-01,2022-01-11,2022-01-11,144,144,95428,13741632,0,REGULAR,DELIVERED
ORD000004,PT029,SUP009,WH008,2022-01-01,2022-01-04,2022-01-06,7000,7000,4501,31507000,0,REGULAR,DELIVERED
ORD000005,PT007,SUP001,WH004,2022-01-02,2022-01-20,2022-01-30,44,44,461049,20286156,10,REGULAR,DELAYED
ORD000006,PT009,SUP001,WH002,2022-01-02,2022-01-12,2022-01-21,204,204,239868,48933072,9,BLANKET,DELAYED
ORD000007,PT015,SUP010,WH006,2022-01-02,2022-01-09,2022-01-12,280,280,22680,6350400,0,REGULAR,DELIVERED
ORD000008,PT013,SUP003,WH007,2022-01-03,2022-01-08,2022-01-09,320,320,7682,2458240,0,REGULAR,DELIVERED
ORD000009,PT021,SUP008,WH003,2022-01-03,2022-01-17,2022-01-23,394,394,187390,73831660,0,REGULAR,DELIVERED
ORD000010,PT023,SUP010,WH005,2022-01-03,2022-01-06,2022-01-06,14900,14900,1450,21605000,0,REGULAR,DELIVERED
ORD000011,PT030,SUP010,WH001,2022-01-03,2022-01-06,2022-01-07,66800,66800,2288,152838400,0,REGULAR,DELIVERED
ORD000012,PT005,SUP004,WH005,2022-01-04,2022-01-18,2022-01-20,48,48,368044,17666112,0,REGULAR,DELIVERED
ORD000013,PT012,SUP010,WH005,2022-01-04,2022-01-09,2022-01-12,1620,1620,12331,19976220,0,REGULAR,DELIVERED
ORD000014,PT018,SUP002,WH006,2022-01-04,2022-01-11,2022-01-11,172,172,81883,14083876,0,BLANKET,DELIVERED
ORD000015,PT022,SUP005,WH004,2022-01-04,2022-01-14,2022-01-18,436,436,66125,28830500,0,REGULAR,DELIVERED
ORD000016,PT028,SUP010,WH004,2022-01-04,2022-01-09,2022-01-12,7400,7400,5819,43060600,0,BLANKET,DELIVERED
ORD000017,PT009,SUP001,WH002,2022-01-05,2022-01-15,2022-01-17,152,152,261324,39721248,0,REGULAR,DELIVERED
ORD000018,PT010,SUP003,WH005,2022-01-05,2022-01-19,2022-01-20,39,39,994311,38778129,0,REGULAR,DELIVERED
ORD000019,PT014,SUP005,WH007,2022-01-05,2022-01-08,2022-01-23,150,150,63053,9457950,15,EMERGENCY,DELAYED
ORD000020,PT022,SUP005,WH005,2022-01-05,2022-01-15,2022-01-15,456,456,65180,29722080,0,BLANKET,DELIVERED
ORD000021,PT025,SUP009,WH001,2022-01-05,2022-01-10,2022-02-03,24300,24300,11938,290093400,24,REGULAR,DELAYED
